"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.OPC","log2fold_change","Auc"
"48","ENSG00000187416","hurdle",0,0.490803,5.143891,4.653088,0.978
"1","ENSG00000038427","hurdle",0,-1.703082,3.497198,5.20028,0.974
"35","ENSG00000157890","hurdle",0,-1.417116,2.584467,4.001583,0.94
"13","ENSG00000110693","hurdle",0,0.8353265,3.9541483,3.1188218,0.928
"24","ENSG00000134853","hurdle",0,-2.556781,1.949487,4.506268,0.927
"15","ENSG00000112902","hurdle",0,-0.005444154,3.215870702,3.221314856,0.922
"53","ENSG00000198732","hurdle",0,-1.951801,2.02049,3.972291,0.913
"19","ENSG00000116147","hurdle",0,2.514602,4.761428,2.246826,0.892
"20","ENSG00000122584","hurdle",0,1.839669,3.367097,1.527428,0.887
"47","ENSG00000187398","hurdle",0,1.571451,3.827557,2.256106,0.886
"39","ENSG00000169302","hurdle",0,-2.558183,1.340254,3.898437,0.863
"25","ENSG00000140470","hurdle",0,0.1750524,2.2114619,2.0364095,0.858
"16","ENSG00000114166","hurdle",0,-0.07090992,2.25433221,2.32524213,0.856
"51","ENSG00000196562","hurdle",0,-1.219458,1.36385,2.583308,0.852
"14","ENSG00000112280","hurdle",0,-2.852333,1.005937,3.85827,0.847
"27","ENSG00000148123","hurdle",0,-0.1238586,2.1915757,2.3154343,0.84
"44","ENSG00000181234","hurdle",0,0.7258652,2.3944406,1.6685754,0.834
"11","ENSG00000101311","hurdle",0,-2.8848074,0.9657605,3.8505679,0.834
"52","ENSG00000197584","hurdle",0,2.342514,3.942635,1.600121,0.833
"50","ENSG00000196132","hurdle",0,-1.829453,1.130727,2.96018,0.831
"6","ENSG00000075461","hurdle",0,-1.8798017,0.9873021,2.8671038,0.829
"21","ENSG00000132122","hurdle",0,0.1142172,2.1830854,2.0688682,0.828
"5","ENSG00000065320","hurdle",0,-2.1555807,0.9906742,3.1462549,0.825
"31","ENSG00000152527","hurdle",0,-0.9762587,1.0778068,2.0540655,0.811
"12","ENSG00000103489","hurdle",0,2.120664,3.732068,1.611404,0.81
"32","ENSG00000152953","hurdle",0,-1.931163,0.9531404,2.8843034,0.797
"54","ENSG00000203805","hurdle",0,-2.272073,0.726966,2.999039,0.788
"18","ENSG00000116132","hurdle",0,-1.020676,1.261484,2.28216,0.783
"30","ENSG00000152492","hurdle",0,-0.5467361,1.4101956,1.9569317,0.781
"28","ENSG00000148143","hurdle",0,0.3388307,1.9790259,1.6401952,0.778
"2","ENSG00000060718","hurdle",0,0.9201003,2.1072737,1.1871734,0.766
"37","ENSG00000162670","hurdle",0,2.314097,3.162635,0.848538,0.764
"43","ENSG00000179314","hurdle",0,-2.2609936,0.3950062,2.6559998,0.763
"22","ENSG00000132692","hurdle",0,-1.486842,0.6461151,2.1329571,0.761
"4","ENSG00000064989","hurdle",0,-1.4279711,0.8619758,2.2899469,0.761
"42","ENSG00000175928","hurdle",0,0.1366852,1.5216207,1.3849355,0.76
"41","ENSG00000174945","hurdle",0,-1.0231484,0.8826935,1.9058419,0.759
"45","ENSG00000184221","hurdle",0,-2.341206,0.2790577,2.6202637,0.752
"34","ENSG00000156103","hurdle",0,2.608458,3.586882,0.978424,0.751
"23","ENSG00000134369","hurdle",2.91498731046335e-322,1.572243,2.667927,1.095684,0.745
"38","ENSG00000164309","hurdle",0,-0.7444179,0.8158289,1.5602468,0.743
"55","ENSG00000227220","hurdle",0,-0.8459006,0.7602758,1.6061764,0.73
"7","ENSG00000077782","hurdle",0,-0.4484735,0.9858009,1.4342744,0.726
"58","ENSG00000259048","hurdle",0,-0.6645069,1.109171,1.7736779,0.715
"29","ENSG00000150361","hurdle",0,-0.4562236,0.8103265,1.2665501,0.713
"33","ENSG00000153823","hurdle",4.73039827563428e-293,1.784051,2.396702,0.612651,0.71
"36","ENSG00000162402","hurdle",3.10358760262214e-227,0.9777779,1.9744915,0.9967136,0.705
"10","ENSG00000100095","hurdle",5.30594209641191e-284,1.961365,2.52937,0.568005,0.703
"40","ENSG00000169432","hurdle",4.31457974122677e-297,-0.2546041,0.8022465,1.0568506,0.696
"8","ENSG00000089250","hurdle",0,-1.3593385,0.2009871,1.5603256,0.694
"57","ENSG00000244128","hurdle",2.4582767295248e-246,0.9563993,1.6071015,0.6507022,0.691
"3","ENSG00000061938","hurdle",9.92214451251222e-180,-0.04037566,0.91696905,0.95734471,0.677
"26","ENSG00000147044","hurdle",2.7043976000872e-176,1.352601,2.003157,0.650556,0.673
"9","ENSG00000091490","hurdle",4.84407820143626e-242,-0.8390662,0.1642953,1.0033615,0.668
"56","ENSG00000231871","hurdle",5.68309866699453e-170,-0.5702409,0.707971,1.2782119,0.655
"49","ENSG00000188906","hurdle",2.06866651313664e-140,0.4512965,1.0568695,0.605573,0.648
"17","ENSG00000114646","hurdle",2.05971801031051e-146,-0.7679774,0.2630344,1.0310118,0.647
"60","ENSG00000287151","hurdle",1.88946929976336e-122,-0.224079,0.4949566,0.7190356,0.638
"46","ENSG00000187068","hurdle",2.71191649054885e-129,-0.6011442,0.4051502,1.0062944,0.638
"59","ENSG00000265972","hurdle",1.29352439732234e-92,-2.122587,-1.329384,0.793203,0.574
