"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Astro","log2fold_change","Auc"
"37","ENSG00000234377","hurdle",0,-0.9107694,3.3026889,4.2134583,0.892
"28","ENSG00000164199","hurdle",0,0.07573211,4.03264283,3.95691072,0.861
"39","ENSG00000236790","hurdle",0,0.007673126,2.573855202,2.566182076,0.811
"19","ENSG00000142611","hurdle",0,-2.581974,1.061731,3.643705,0.806
"8","ENSG00000106571","hurdle",0,-2.546361,1.456746,4.003107,0.798
"6","ENSG00000080573","hurdle",0,-1.674333,1.660069,3.334402,0.79
"16","ENSG00000138696","hurdle",0,-0.91709,1.850462,2.767552,0.788
"24","ENSG00000154930","hurdle",0,-2.30156,0.9839394,3.2854994,0.786
"33","ENSG00000182902","hurdle",0,-2.254223,1.126269,3.380492,0.785
"2","ENSG00000068078","hurdle",0,-2.6404369,0.5594546,3.1998915,0.783
"18","ENSG00000140022","hurdle",0,-2.267004,1.189476,3.45648,0.782
"7","ENSG00000103740","hurdle",0,-2.315453,0.935282,3.250735,0.779
"11","ENSG00000111783","hurdle",0,-0.7867592,2.0803773,2.8671365,0.777
"21","ENSG00000144749","hurdle",0,-0.911183,1.880315,2.791498,0.773
"23","ENSG00000149090","hurdle",0,-1.294582,1.493137,2.787719,0.772
"3","ENSG00000072952","hurdle",0,-2.4584998,0.7454755,3.2039753,0.756
"31","ENSG00000172987","hurdle",0,-0.9804021,2.6664282,3.6468303,0.754
"25","ENSG00000162390","hurdle",0,-0.6525057,1.3241598,1.9766655,0.752
"15","ENSG00000135063","hurdle",0,-2.248332,1.018356,3.266688,0.75
"22","ENSG00000147509","hurdle",0,-1.841739,1.301391,3.14313,0.745
"27","ENSG00000164188","hurdle",0,-1.800065,1.168821,2.968886,0.742
"5","ENSG00000080493","hurdle",0,0.5778103,2.6054172,2.0276069,0.741
"12","ENSG00000114790","hurdle",0,-1.838982,0.9486816,2.7876636,0.738
"34","ENSG00000183579","hurdle",0,0.2454721,2.4253049,2.1798328,0.737
"9","ENSG00000107249","hurdle",0,1.343215,2.502195,1.15898,0.734
"38","ENSG00000236197","hurdle",0,-0.425901,2.254906,2.680807,0.728
"30","ENSG00000171885","hurdle",0,-1.397452,1.388033,2.785485,0.727
"17","ENSG00000139155","hurdle",0,-2.3041379,0.8033403,3.1074782,0.726
"35","ENSG00000197360","hurdle",0,-1.223515,2.19147,3.414985,0.723
"10","ENSG00000110693","hurdle",0,1.118787,1.749805,0.631018,0.719
"32","ENSG00000182175","hurdle",0,-1.4048594,0.3696151,1.7744745,0.691
"36","ENSG00000226476","hurdle",0,-0.8641773,0.9872354,1.8514127,0.688
"20","ENSG00000143603","hurdle",0,-0.4406036,0.9916183,1.4322219,0.677
"41","ENSG00000286288","hurdle",0,-0.3499915,1.2580858,1.6080773,0.673
"29","ENSG00000166839","hurdle",0,-0.08267503,1.10872307,1.1913981,0.667
"26","ENSG00000163453","hurdle",0,-1.54867614,-0.09481694,1.4538592,0.639
"14","ENSG00000132321","hurdle",7.6516456440012e-144,-0.1161685,0.6601724,0.7763409,0.606
"13","ENSG00000116132","hurdle",2.76083554109292e-198,-0.93222653,0.01511256,0.94733909,0.601
"40","ENSG00000254087","hurdle",2.01463892385751e-150,-2.361059,-1.276161,1.084898,0.562
"1","ENSG00000026025","hurdle",6.83991668734507e-137,-2.348121,-1.410428,0.937693,0.56
"4","ENSG00000079308","hurdle",5.3009590345508e-73,-1.3982489,-0.8861246,0.5121243,0.559
