"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Inhib","log2fold_change","Auc"
"42","ENSG00000128683","hurdle",0,-1.871716,3.015619,4.887335,0.926
"77","ENSG00000151789","hurdle",0,1.203126,4.65437,3.451244,0.923
"76","ENSG00000151136","hurdle",0,-1.560157,3.467452,5.027609,0.912
"52","ENSG00000136750","hurdle",0,-2.165703,3.120188,5.285891,0.911
"65","ENSG00000144596","hurdle",0,-2.546442,1.737267,4.283709,0.887
"127","ENSG00000188158","hurdle",0,-0.3596936,2.5631522,2.9228458,0.886
"6","ENSG00000029534","hurdle",0,-1.390784,2.071578,3.462362,0.884
"4","ENSG00000017427","hurdle",0,-2.762626,1.409979,4.172605,0.843
"84","ENSG00000155974","hurdle",0,2.29391,4.605835,2.311925,0.841
"149","ENSG00000259905","hurdle",0,0.8297968,3.1843042,2.3545074,0.835
"133","ENSG00000198785","hurdle",0,-0.5883682,2.3257738,2.914142,0.835
"92","ENSG00000163630","hurdle",0,1.00335,4.201832,3.198482,0.83
"107","ENSG00000174473","hurdle",0,2.694932,6.472667,3.777735,0.827
"104","ENSG00000169855","hurdle",0,2.85471,4.952445,2.097735,0.827
"122","ENSG00000185008","hurdle",0,5.437805,6.896014,1.458209,0.825
"80","ENSG00000152932","hurdle",0,1.82088,3.478757,1.657877,0.821
"25","ENSG00000103460","hurdle",0,-1.638759,1.547533,3.186292,0.818
"134","ENSG00000203727","hurdle",0,-0.1938627,2.8080382,3.0019009,0.808
"145","ENSG00000244694","hurdle",0,0.728772,2.844486,2.115714,0.804
"75","ENSG00000150556","hurdle",0,-2.139412,1.561954,3.701366,0.801
"128","ENSG00000189056","hurdle",0,-2.08229,2.746412,4.828702,0.799
"83","ENSG00000155966","hurdle",0,-0.2449382,2.0190271,2.2639653,0.799
"139","ENSG00000218336","hurdle",0,1.941469,3.58028,1.638811,0.797
"86","ENSG00000157388","hurdle",0,2.485904,3.89636,1.410456,0.795
"64","ENSG00000144460","hurdle",0,0.8213477,3.8097525,2.9884048,0.794
"137","ENSG00000206052","hurdle",0,2.003992,3.780027,1.776035,0.79
"124","ENSG00000187123","hurdle",0,-2.391285,1.384191,3.775476,0.787
"116","ENSG00000181072","hurdle",0,0.1315085,4.014097,3.8825885,0.784
