rna_extract,DE_class,n_DE,percent
Cyto,None,9687,44.54817199356174
Cyto,RiboZeroGold_Cyto,7109,32.69257300528857
Cyto,polyA_Cyto,4949,22.75925500114969
Nuc,None,11840,54.449298689353874
Nuc,RiboZeroGold_Nuc,5821,26.76937226948724
Nuc,polyA_Nuc,4084,18.781329041158887
Total,None,19744,90.79788457116578
Total,RiboZeroGold_Total,996,4.580363301908485
Total,polyA_Total,1005,4.62175212692573
