"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"282","ENSG00000151702","hurdle",0,-2.092765,0.6794792,2.7722442,0.792
"270","ENSG00000146090","hurdle",0,-0.943028,1.450013,2.393041,0.792
"196","ENSG00000129667","hurdle",0,-3.083415,0.4153303,3.4987453,0.792
"352","ENSG00000169313","hurdle",0,-1.648724,1.342542,2.991266,0.791
"47","ENSG00000079215","hurdle",0,0.6947443,2.2196414,1.5248971,0.789
"255","ENSG00000140678","hurdle",0,-3.191246,0.365141,3.556387,0.78
"415","ENSG00000184384","hurdle",0,0.8391991,2.3492599,1.5100608,0.778
"492","ENSG00000273749","hurdle",0,0.0830425,1.8751489,1.7921064,0.776
"364","ENSG00000171310","hurdle",0,0.8101045,2.2194479,1.4093434,0.773
"193","ENSG00000128815","hurdle",0,-2.8986676,0.3232611,3.2219287,0.773
"254","ENSG00000140548","hurdle",0,-1.213144,1.031244,2.244388,0.772
"292","ENSG00000155307","hurdle",0,-2.8655079,0.6337499,3.4992578,0.77
"490","ENSG00000273409","hurdle",0,-3.1076981,0.7384607,3.8461588,0.769
"420","ENSG00000185650","hurdle",0,-1.666901,0.923246,2.590147,0.768
"278","ENSG00000148908","hurdle",0,-3.1407247,0.1882115,3.3289362,0.767
"245","ENSG00000138185","hurdle",0,-2.0224697,0.6470462,2.6695159,0.761
"263","ENSG00000142347","hurdle",0,-2.5525642,0.3029524,2.8555166,0.758
"269","ENSG00000145685","hurdle",0,-0.710855,1.378685,2.08954,0.757
"227","ENSG00000136205","hurdle",0,-1.4209171,0.6957045,2.1166216,0.757
"34","ENSG00000067066","hurdle",0,-2.4868016,0.2493781,2.7361797,0.757
"31","ENSG00000065413","hurdle",0,0.4262704,1.9519214,1.525651,0.752
"398","ENSG00000178573","hurdle",0,-1.5244145,0.5432748,2.0676893,0.751
"317","ENSG00000163219","hurdle",0,-1.9821086,0.6822897,2.6643983,0.75
