"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Excit","log2fold_change","Auc"
"6126","ENSG00000154146","hurdle",0,0.5193742,4.3099336,3.7905594,0.917
"766","ENSG00000070808","hurdle",0,0.04537156,4.00104236,3.9556708,0.913
"3901","ENSG00000128656","hurdle",0,1.17141,4.664773,3.493363,0.91
"9142","ENSG00000185518","hurdle",0,-0.7174146,4.0040211,4.7214357,0.905
"6381","ENSG00000157782","hurdle",0,-0.8101552,3.7410605,4.5512157,0.897
"4035","ENSG00000130558","hurdle",0,0.2715667,3.6148411,3.3432744,0.89
"9044","ENSG00000184613","hurdle",0,0.01802662,4.38279593,4.36476931,0.888
"7941","ENSG00000171617","hurdle",0,-0.3216773,3.6650687,3.986746,0.888
"5257","ENSG00000143013","hurdle",0,-0.06001893,3.61081029,3.67082922,0.879
"4152","ENSG00000131711","hurdle",0,2.414027,5.205106,2.791079,0.878
"1998","ENSG00000104888","hurdle",0,-1.629021,2.215442,3.844463,0.876
"3924","ENSG00000128989","hurdle",0,-0.2813279,2.9272652,3.2085931,0.871
"8422","ENSG00000176788","hurdle",0,0.9309015,3.8199392,2.8890377,0.864
"3536","ENSG00000123416","hurdle",0,0.5191514,3.3781051,2.8589537,0.861
"1950","ENSG00000104435","hurdle",0,0.6237379,3.5907559,2.967018,0.861
"5485","ENSG00000145335","hurdle",0,-0.189129,3.033787,3.222916,0.86
"3221","ENSG00000119042","hurdle",0,-1.677791,3.360395,5.038186,0.86
"9849","ENSG00000198668","hurdle",0,2.657785,5.240997,2.583212,0.859
"7337","ENSG00000166501","hurdle",0,1.526708,4.70848,3.181772,0.859
"4683","ENSG00000136854","hurdle",0,1.058528,3.765533,2.707005,0.859
"3513","ENSG00000123119","hurdle",0,0.1729638,3.7342906,3.5613268,0.858
"771","ENSG00000070961","hurdle",0,1.385423,4.406248,3.020825,0.857
"5368","ENSG00000143933","hurdle",0,1.62063,4.051487,2.430857,0.853
"9593","ENSG00000196872","hurdle",0,-1.603716,3.113171,4.716887,0.852
"8093","ENSG00000172995","hurdle",0,0.8214944,4.6930262,3.8715318,0.851
"7992","ENSG00000172020","hurdle",0,0.3575738,3.260224,2.9026502,0.851
"6801","ENSG00000163032","hurdle",0,1.428141,4.065802,2.637661,0.851
"4246","ENSG00000132639","hurdle",0,2.885235,5.14159,2.256355,0.851
"18","ENSG00000002746","hurdle",0,0.3764898,4.3328856,3.9563958,0.851
"11636","ENSG00000277586","hurdle",0,-0.1119005,3.07284,3.1847405,0.85
"8353","ENSG00000175874","hurdle",0,-0.248346,2.996389,3.244735,0.85
"7899","ENSG00000171246","hurdle",0,-1.811131,1.920813,3.731944,0.848
"6532","ENSG00000160014","hurdle",0,0.8005981,3.3004263,2.4998282,0.848
"3865","ENSG00000128245","hurdle",0,0.181232,3.045991,2.864759,0.848
"9363","ENSG00000188191","hurdle",0,-0.1266605,2.6276377,2.7542982,0.846
"5566","ENSG00000146147","hurdle",0,-1.960012,3.069152,5.029164,0.843
"3639","ENSG00000124785","hurdle",0,-1.755414,1.887362,3.642776,0.842
"2536","ENSG00000110931","hurdle",0,-1.063217,2.184331,3.247548,0.842
"1029","ENSG00000081189","hurdle",0,2.016749,4.714398,2.697649,0.841
"9168","ENSG00000185760","hurdle",0,1.885826,5.555112,3.669286,0.839
