"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Astro","log2fold_change","Auc"
"484","ENSG00000234377","hurdle",0,-0.9107694,3.3026889,4.2134583,0.892
"44","ENSG00000079215","hurdle",0,-0.1943336,3.6622273,3.8565609,0.883
"118","ENSG00000110436","hurdle",0,1.654632,5.411065,3.756433,0.864
"344","ENSG00000164199","hurdle",0,0.07573211,4.03264283,3.95691072,0.861
"414","ENSG00000179399","hurdle",0,1.813891,4.699532,2.885641,0.838
"13","ENSG00000018625","hurdle",0,-0.0903243,2.1275229,2.2178472,0.838
"218","ENSG00000135540","hurdle",0,-1.768433,2.262861,4.031294,0.827
"226","ENSG00000136297","hurdle",0,-1.038013,1.766313,2.804326,0.813
"488","ENSG00000236790","hurdle",0,0.007673126,2.573855202,2.566182076,0.811
"249","ENSG00000142611","hurdle",0,-2.581974,1.061731,3.643705,0.806
"105","ENSG00000106571","hurdle",0,-2.546361,1.456746,4.003107,0.798
"166","ENSG00000124440","hurdle",0,-2.140137,1.23532,3.375457,0.795
"304","ENSG00000154217","hurdle",0,1.763338,3.956216,2.192878,0.79
"51","ENSG00000080573","hurdle",0,-1.674333,1.660069,3.334402,0.79
"19","ENSG00000046889","hurdle",0,-0.3444649,2.4118092,2.7562741,0.789
"436","ENSG00000185942","hurdle",0,1.12378,3.138109,2.014329,0.788
"236","ENSG00000138696","hurdle",0,-0.91709,1.850462,2.767552,0.788
"426","ENSG00000183580","hurdle",0,0.78247,2.998,2.21553,0.786
"310","ENSG00000154930","hurdle",0,-2.30156,0.9839394,3.2854994,0.786
"424","ENSG00000182902","hurdle",0,-2.254223,1.126269,3.380492,0.785
"137","ENSG00000116117","hurdle",0,-0.5635863,2.0432972,2.6068835,0.784
"30","ENSG00000068078","hurdle",0,-2.6404369,0.5594546,3.1998915,0.783
"241","ENSG00000140022","hurdle",0,-2.267004,1.189476,3.45648,0.782
"109","ENSG00000107317","hurdle",0,0.4352591,1.9130317,1.4777726,0.782
"179","ENSG00000127249","hurdle",0,-1.320238,1.691841,3.012079,0.78
"94","ENSG00000103740","hurdle",0,-2.315453,0.935282,3.250735,0.779
"495","ENSG00000245532","hurdle",0,1.73786,3.558092,1.820232,0.778
"121","ENSG00000111783","hurdle",0,-0.7867592,2.0803773,2.8671365,0.777
"258","ENSG00000144749","hurdle",0,-0.911183,1.880315,2.791498,0.773
"301","ENSG00000153944","hurdle",0,1.593095,3.575471,1.982376,0.772
"280","ENSG00000149090","hurdle",0,-1.294582,1.493137,2.787719,0.772
"275","ENSG00000148498","hurdle",0,0.2604704,2.3851968,2.1247264,0.772
"311","ENSG00000155324","hurdle",0,-0.8438498,1.6845272,2.528377,0.766
"173","ENSG00000125462","hurdle",0,0.09856233,2.07608435,1.97752202,0.766
"326","ENSG00000162407","hurdle",0,-1.38397,1.500972,2.884942,0.765
"40","ENSG00000076555","hurdle",0,-1.750373,1.031896,2.782269,0.762
"288","ENSG00000151012","hurdle",0,-1.801118,1.313696,3.114814,0.759
"37","ENSG00000072952","hurdle",0,-2.4584998,0.7454755,3.2039753,0.756
"396","ENSG00000172987","hurdle",0,-0.9804021,2.6664282,3.6468303,0.754
"325","ENSG00000162390","hurdle",0,-0.6525057,1.3241598,1.9766655,0.752
"26","ENSG00000064655","hurdle",0,-2.0391538,0.7250018,2.7641556,0.752
"212","ENSG00000135063","hurdle",0,-2.248332,1.018356,3.266688,0.75
"268","ENSG00000147509","hurdle",0,-1.841739,1.301391,3.14313,0.745
"83","ENSG00000101542","hurdle",0,1.369888,3.061005,1.691117,0.743
"343","ENSG00000164188","hurdle",0,-1.800065,1.168821,2.968886,0.742
"253","ENSG00000143772","hurdle",0,-1.393401,1.153581,2.546982,0.742
"50","ENSG00000080493","hurdle",0,0.5778103,2.6054172,2.0276069,0.741
"133","ENSG00000114790","hurdle",0,-1.838982,0.9486816,2.7876636,0.738
"425","ENSG00000183579","hurdle",0,0.2454721,2.4253049,2.1798328,0.737
"265","ENSG00000146005","hurdle",0,-1.713564,0.774592,2.488156,0.736
"108","ENSG00000107249","hurdle",0,1.343215,2.502195,1.15898,0.734
"221","ENSG00000135821","hurdle",0,-0.6570078,1.880413,2.5374208,0.733
"260","ENSG00000144908","hurdle",0,-2.727902,0.29119,3.019092,0.732
"22","ENSG00000056487","hurdle",0,-1.753058,0.68271,2.435768,0.732
"357","ENSG00000165795","hurdle",0,-1.3485274,0.6255743,1.9741017,0.73
"487","ENSG00000236197","hurdle",0,-0.425901,2.254906,2.680807,0.728
"342","ENSG00000164089","hurdle",0,-2.7910158,0.6765982,3.467614,0.728
"390","ENSG00000171885","hurdle",0,-1.397452,1.388033,2.785485,0.727
"240","ENSG00000139155","hurdle",0,-2.3041379,0.8033403,3.1074782,0.726
"134","ENSG00000115380","hurdle",0,-2.6191636,0.6892458,3.3084094,0.726
"482","ENSG00000231252","hurdle",0,-2.6063811,0.6606312,3.2670123,0.725
"432","ENSG00000184384","hurdle",0,0.7147564,2.3417261,1.6269697,0.724
"451","ENSG00000197360","hurdle",0,-1.223515,2.19147,3.414985,0.723
"66","ENSG00000092820","hurdle",0,-2.5750757,0.4659499,3.0410256,0.723
"76","ENSG00000100767","hurdle",0,-2.98766836,0.05788682,3.04555518,0.72
"119","ENSG00000110693","hurdle",0,1.118787,1.749805,0.631018,0.719
"511","ENSG00000262655","hurdle",0,-0.1243575,1.4249606,1.5493181,0.716
"471","ENSG00000215244","hurdle",0,-2.5219928,0.2185751,2.7405679,0.714
"206","ENSG00000134569","hurdle",0,-2.0179511,0.4402596,2.4582107,0.714
"458","ENSG00000198838","hurdle",0,1.842725,2.81983,0.977105,0.713
"107","ENSG00000107104","hurdle",0,-0.4317121,1.737571,2.1692831,0.713
"190","ENSG00000131095","hurdle",0,-1.045939,1.55799,2.603929,0.71
"245","ENSG00000141469","hurdle",0,-2.7687323,0.7042334,3.4729657,0.709
"266","ENSG00000146122","hurdle",0,-0.3373256,1.3034493,1.6407749,0.707
"231","ENSG00000137693","hurdle",0,-2.5044117,0.2506233,2.755035,0.705
"494","ENSG00000243069","hurdle",0,-1.6314468,0.6923904,2.3238372,0.704
"294","ENSG00000152661","hurdle",0,-2.480275,0.273001,2.753276,0.704
"85","ENSG00000101680","hurdle",0,-2.93962269,0.02298462,2.96260731,0.704
"100","ENSG00000105854","hurdle",0,-1.841542,0.5007034,2.3422454,0.702
"97","ENSG00000104313","hurdle",0,-2.1013909,0.4847274,2.5861183,0.7
"296","ENSG00000152990","hurdle",0,-1.10073,1.022824,2.123554,0.699
"412","ENSG00000178764","hurdle",0,-0.2429657,1.4580664,1.7010321,0.698
"393","ENSG00000172201","hurdle",0,-2.3074008,0.5597006,2.8671014,0.697
"323","ENSG00000161509","hurdle",0,-2.87606848,-0.08593856,2.79012992,0.697
"352","ENSG00000165092","hurdle",0,-1.8606878,0.8262197,2.6869075,0.696
"104","ENSG00000106278","hurdle",0,1.263351,2.212275,0.948924,0.696
"297","ENSG00000153208","hurdle",0,-1.33834,0.765876,2.104216,0.695
"82","ENSG00000101439","hurdle",0,-0.3172133,1.2048147,1.522028,0.695
"159","ENSG00000123104","hurdle",0,1.45927,2.236636,0.777366,0.694
"185","ENSG00000130203","hurdle",0,-1.4832551,0.6215736,2.1048287,0.693
"423","ENSG00000182175","hurdle",0,-1.4048594,0.3696151,1.7744745,0.691
"478","ENSG00000227036","hurdle",0,0.2138147,1.6042788,1.3904641,0.688
"477","ENSG00000226476","hurdle",0,-0.8641773,0.9872354,1.8514127,0.688
"415","ENSG00000179604","hurdle",0,-2.509413,0.1239256,2.6333386,0.687
"267","ENSG00000146648","hurdle",0,-0.5856171,0.8204825,1.4060996,0.687
"222","ENSG00000135838","hurdle",0,-1.3970898,0.6652112,2.062301,0.687
"261","ENSG00000145555","hurdle",0,-1.149976,0.714434,1.86441,0.686
"480","ENSG00000229847","hurdle",0,-2.46410261,-0.02822909,2.43587352,0.682
"430","ENSG00000184232","hurdle",0,-2.6433545,-0.1789223,2.4644322,0.682
"79","ENSG00000101144","hurdle",0,-2.418554,-0.1006368,2.3179172,0.682
"328","ENSG00000162599","hurdle",0,1.812537,2.945075,1.132538,0.681
"285","ENSG00000150760","hurdle",0,-0.0609425,1.0710798,1.1320223,0.681
"122","ENSG00000111907","hurdle",0,-1.2584794,0.9398254,2.1983048,0.681
"420","ENSG00000181722","hurdle",0,2.149772,3.620769,1.470997,0.679
"440","ENSG00000186998","hurdle",0,-2.0721898,-0.0226936,2.0494962,0.678
"434","ENSG00000185650","hurdle",0,-1.8466755,0.5238362,2.3705117,0.678
"145","ENSG00000117525","hurdle",0,-2.7732367,-0.1312842,2.6419525,0.678
"517","ENSG00000271904","hurdle",0,-1.349928,0.803548,2.153476,0.677
"405","ENSG00000176771","hurdle",0,1.253328,1.96856,0.715232,0.677
"355","ENSG00000165478","hurdle",0,-1.87121169,0.03895401,1.9101657,0.677
"252","ENSG00000143603","hurdle",0,-0.4406036,0.9916183,1.4322219,0.677
"225","ENSG00000136205","hurdle",0,-1.5307689,0.3056365,1.8364054,0.675
"75","ENSG00000100427","hurdle",0,-2.875463,-0.4901262,2.3853368,0.674
"522","ENSG00000286288","hurdle",0,-0.3499915,1.2580858,1.6080773,0.673
"309","ENSG00000154856","hurdle",0,-2.11526276,-0.03861919,2.07664357,0.673
"292","ENSG00000152284","hurdle",0,-2.00310496,0.03471276,2.03781772,0.673
"16","ENSG00000031081","hurdle",0,-1.6680278,0.1342036,1.8022314,0.672
"263","ENSG00000145794","hurdle",0,-0.776078,0.8323416,1.6084196,0.671
"443","ENSG00000188039","hurdle",0,-2.7553028,-0.1444491,2.6108537,0.67
"203","ENSG00000134376","hurdle",0,-0.1617022,1.4860353,1.6477375,0.67
"264","ENSG00000145832","hurdle",0,-2.1327621,-0.1002481,2.032514,0.669
"132","ENSG00000114698","hurdle",0,-2.38973642,-0.09365579,2.29608063,0.669
"363","ENSG00000166839","hurdle",0,-0.08267503,1.10872307,1.1913981,0.667
"46","ENSG00000079335","hurdle",0,-1.7614238,0.1905724,1.9519962,0.665
"287","ENSG00000150907","hurdle",0,-0.1024356,1.3141334,1.416569,0.664
"198","ENSG00000132669","hurdle",0,-0.1955611,1.0364991,1.2320602,0.664
"256","ENSG00000144040","hurdle",9.03087518879428e-300,1.225647,2.265125,1.039478,0.663
"170","ENSG00000125148","hurdle",0,-1.6405055,0.1328815,1.773387,0.663
"68","ENSG00000099139","hurdle",0,-0.04182341,0.7840982,0.82592161,0.661
"362","ENSG00000166689","hurdle",0,-1.6046073,0.2138935,1.8185008,0.66
"202","ENSG00000134250","hurdle",0,-1.92993019,-0.01168593,1.91824426,0.659
"410","ENSG00000178075","hurdle",0,-1.4185393,0.3418477,1.760387,0.658
"521","ENSG00000279082","hurdle",0,-3.04053326,0.03294188,3.07347514,0.657
"274","ENSG00000148482","hurdle",0,-3.0897799,-0.3775076,2.7122723,0.657
"195","ENSG00000132470","hurdle",0,-3.008759,-0.59083,2.417929,0.656
"125","ENSG00000113594","hurdle",0,0.1273189,1.4972526,1.3699337,0.656
"47","ENSG00000079337","hurdle",0,-2.2887394,-0.4911451,1.7975943,0.656
"353","ENSG00000165449","hurdle",0,-2.50581658,0.02476775,2.53058433,0.655
"313","ENSG00000156049","hurdle",0,-1.1811238,0.7037883,1.8849121,0.655
"123","ENSG00000111961","hurdle",4.79004158883596e-303,0.9143402,2.111419,1.1970788,0.655
"220","ENSG00000135744","hurdle",0,-2.7726729,-0.4593908,2.3132821,0.654
"204","ENSG00000134508","hurdle",0,-0.1583228,1.804908,1.9632308,0.654
"24","ENSG00000058866","hurdle",2.92484136822474e-306,0.9218052,1.476425,0.5546198,0.653
"503","ENSG00000253944","hurdle",0,-2.6641185,-0.2487186,2.4153999,0.651
