"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Astro","log2fold_change","Auc"
"419","ENSG00000181449","hurdle",0,-1.8291783,-0.1237586,1.7054197,0.649
"197","ENSG00000132613","hurdle",0,-0.7008955,0.6702326,1.3711281,0.649
"63","ENSG00000091656","hurdle",1.75683511861558e-303,0.2252681,1.1247738,0.8995057,0.648
"368","ENSG00000167614","hurdle",4.24935411147777e-256,-0.2958576,0.6042669,0.9001245,0.647
"360","ENSG00000165895","hurdle",0,-1.236738,0.163311,1.400049,0.647
"341","ENSG00000164050","hurdle",0,-2.166311,-0.5430294,1.6232816,0.647
"330","ENSG00000162944","hurdle",0,-0.8752814,0.381632,1.2569134,0.647
"164","ENSG00000124145","hurdle",0,-3.0054436,-0.7240314,2.2814122,0.646
"120","ENSG00000111058","hurdle",0,-1.3904427,0.2460447,1.6364874,0.646
"235","ENSG00000138685","hurdle",0,-2.00509035,-0.05058593,1.95450442,0.645
"227","ENSG00000136869","hurdle",0,-2.8382149,-0.5472619,2.290953,0.644
"6","ENSG00000007372","hurdle",0,-2.8352684,-0.6856187,2.1496497,0.644
"406","ENSG00000177133","hurdle",0,-3.12413,-0.726429,2.397701,0.643
"187","ENSG00000130413","hurdle",3.42911785770276e-300,-0.4098847,0.7530251,1.1629098,0.643
"289","ENSG00000151322","hurdle",8.15974891362169e-240,3.603628,4.716359,1.112731,0.642
"387","ENSG00000171444","hurdle",9.37851249145673e-259,0.03170468,1.05267006,1.02096538,0.641
"401","ENSG00000174705","hurdle",1.34840396062993e-319,-1.1082983,0.2044844,1.3127827,0.64
"483","ENSG00000233237","hurdle",7.2181758335568e-287,-0.6855572,0.5799745,1.2655317,0.639
"337","ENSG00000163453","hurdle",0,-1.54867614,-0.09481694,1.4538592,0.639
"331","ENSG00000163110","hurdle",1.98858008735122e-280,-0.4064183,0.6203948,1.0268131,0.639
"279","ENSG00000148737","hurdle",7.71092533828029e-214,0.7014766,1.5113117,0.8098351,0.639
"465","ENSG00000205683","hurdle",1.42382628682021e-275,-0.692517,0.4447952,1.1373122,0.638
"128","ENSG00000113721","hurdle",0,-1.4116466,-0.1480604,1.2635862,0.638
"89","ENSG00000102935","hurdle",2.49484830645264e-298,-0.9589166,0.2170163,1.1759329,0.638
"58","ENSG00000087903","hurdle",8.53176185739676e-309,-1.1157275,0.1590958,1.2748233,0.638
"234","ENSG00000138639","hurdle",3.38701919061764e-298,1.094115,1.823467,0.729352,0.637
"28","ENSG00000066468","hurdle",2.00520878123711e-243,-0.06539524,1.05877476,1.12417,0.637
"371","ENSG00000168077","hurdle",0,-2.0702255,-0.4215059,1.6487196,0.636
"373","ENSG00000168309","hurdle",0,-1.6685521,-0.1727786,1.4957735,0.634
"217","ENSG00000135424","hurdle",0,-1.97754,-0.536178,1.441362,0.634
"129","ENSG00000113916","hurdle",0,-1.198625,0.297104,1.495729,0.634
"403","ENSG00000175287","hurdle",0,-2.8390017,-0.7952325,2.0437692,0.633
"381","ENSG00000170075","hurdle",0,-2.5183648,-0.6832879,1.8350769,0.633
"172","ENSG00000125398","hurdle",0,-2.4333301,-0.5132271,1.920103,0.633
"470","ENSG00000214456","hurdle",0,-2.9455416,-0.8867949,2.0587467,0.632
"366","ENSG00000167191","hurdle",8.29261483340401e-235,-0.4344221,0.6342435,1.0686656,0.632
"238","ENSG00000138771","hurdle",3.54080328093743e-220,0.7277324,1.4575384,0.729806,0.632
"177","ENSG00000126785","hurdle",0,-1.592864647,-0.0007616133,1.5921030337,0.632
"3","ENSG00000004468","hurdle",0,-2.988541,-0.6665015,2.3220395,0.632
"462","ENSG00000205336","hurdle",0,-1.7968128,-0.3671822,1.4296306,0.631
"101","ENSG00000105894","hurdle",2.0241407453414e-251,0.008630086,1.268959426,1.26032934,0.631
"7","ENSG00000008311","hurdle",0,-1.683754,-0.1879806,1.4957734,0.631
"356","ENSG00000165730","hurdle",1.37827516957749e-318,-1.2076147,0.2316035,1.4392182,0.63
"180","ENSG00000128849","hurdle",0,-1.856201,-0.4219915,1.4342095,0.629
"86","ENSG00000101849","hurdle",9.97927987123063e-236,-0.6007992,0.482653,1.0834522,0.629
"54","ENSG00000083857","hurdle",2.96439387504748e-323,-1.50174621,-0.08979201,1.4119542,0.628
"418","ENSG00000180537","hurdle",0,-2.1016269,-0.2096199,1.892007,0.626
"168","ENSG00000124942","hurdle",0,-2.2703163,-0.7121028,1.5582135,0.626
"277","ENSG00000148672","hurdle",0,0.1082117,1.3565205,1.2483088,0.625
"439","ENSG00000186951","hurdle",0,-2.013614,-0.516854,1.49676,0.623
"392","ENSG00000172164","hurdle",0,-2.0880019,-0.4123087,1.6756932,0.623
"318","ENSG00000159176","hurdle",7.23761403945875e-274,-1.4774244,-0.2712958,1.2061286,0.623
"276","ENSG00000148660","hurdle",2.81327122320237e-160,1.447552,1.949536,0.501984,0.623
"223","ENSG00000136002","hurdle",4.22915710520507e-216,0.7147731,1.7918782,1.0771051,0.623
"72","ENSG00000099954","hurdle",7.64919028919085e-253,-1.1007303,0.1581213,1.2588516,0.623
"456","ENSG00000198520","hurdle",1.82878469614426e-239,-1.20558394,-0.07979435,1.12578959,0.621
"98","ENSG00000104447","hurdle",5.58554410545821e-164,1.393786,2.287355,0.893569,0.621
"449","ENSG00000196935","hurdle",1.77406407216959e-182,-0.06358376,0.63611109,0.69969485,0.62
"388","ENSG00000171612","hurdle",0,-0.9938648,0.4588448,1.4527096,0.62
"81","ENSG00000101400","hurdle",4.20228055304142e-255,-1.05145671,0.09230471,1.14376142,0.62
"370","ENSG00000167772","hurdle",0,-2.94321343,0.01905396,2.96226739,0.619
"469","ENSG00000214402","hurdle",0,-2.4083,-0.905011,1.503289,0.618
"472","ENSG00000221932","hurdle",0,-2.518995,-0.637446,1.881549,0.617
"438","ENSG00000186815","hurdle",3.51487645970371e-215,-0.213909,0.7807254,0.9946344,0.616
"269","ENSG00000147576","hurdle",1.21906132357909e-281,-1.5022135,-0.2303123,1.2719012,0.616
"181","ENSG00000129151","hurdle",0,-2.9415226,-0.8503846,2.091138,0.616
"409","ENSG00000177807","hurdle",1.74902352915901e-306,-2.003987,-0.5902841,1.4137029,0.615
"272","ENSG00000148400","hurdle",0,-2.4181131,-0.9063695,1.5117436,0.615
"131","ENSG00000114315","hurdle",0,-2.4162038,-0.4459929,1.9702109,0.615
"375","ENSG00000168710","hurdle",1.4610591793562e-218,0.3294491,1.2586921,0.929243,0.614
"151","ENSG00000119938","hurdle",0,-2.6375252,-0.2656183,2.3719069,0.614
"224","ENSG00000136160","hurdle",0,-2.5600794,-0.6139498,1.9461296,0.613
"88","ENSG00000102362","hurdle",0,-2.9559585,-0.7795876,2.1763709,0.613
"67","ENSG00000092969","hurdle",9.96965974298499e-248,-1.4182453,-0.1233636,1.2948817,0.612
"232","ENSG00000137936","hurdle",8.18386265488552e-183,-0.8137649,0.1427678,0.9565327,0.611
"476","ENSG00000225472","hurdle",0,-2.737589,-0.8595659,1.8780231,0.61
"334","ENSG00000163406","hurdle",1.86962952448169e-251,-1.26579992,-0.01168593,1.25411399,0.61
"92","ENSG00000103528","hurdle",5.80961483182185e-186,-0.62104,0.1155832,0.7366232,0.61
"43","ENSG00000078246","hurdle",1.13528471555861e-290,-1.498169,-0.186742,1.311427,0.61
"481","ENSG00000231064","hurdle",0,-2.859211,-1.061177,1.798034,0.609
"283","ENSG00000149633","hurdle",3.93550644220978e-251,-1.6878232,-0.5594999,1.1283233,0.609
"69","ENSG00000099204","hurdle",5.75839178471517e-174,2.368479,3.023685,0.655206,0.609
"17","ENSG00000041982","hurdle",0,-2.6017,0.314702,2.916402,0.609
"186","ENSG00000130287","hurdle",3.21501231119041e-150,-0.2082435,0.6335425,0.841786,0.608
"183","ENSG00000129244","hurdle",3.39621849165164e-174,-0.89892826,-0.03007899,0.86884927,0.608
"61","ENSG00000089472","hurdle",0,-2.5608904,-0.8425612,1.7183292,0.608
"257","ENSG00000144649","hurdle",3.79251219053818e-234,-1.5567428,-0.2769957,1.2797471,0.607
"507","ENSG00000256463","hurdle",0,-2.992693,-1.163856,1.828837,0.606
"498","ENSG00000248429","hurdle",5.92593706108116e-250,-1.4103304,-0.4079725,1.0023579,0.606
"351","ENSG00000165029","hurdle",3.53067914229856e-206,-1.3216119,-0.1699205,1.1516914,0.606
"194","ENSG00000132321","hurdle",7.58693995895745e-144,-0.1161685,0.6601724,0.7763409,0.606
"188","ENSG00000130787","hurdle",3.96501294999721e-157,-0.4382918,0.3501204,0.7884122,0.606
"516","ENSG00000271447","hurdle",0,-2.4093222,-0.9653226,1.4439996,0.605
"99","ENSG00000105088","hurdle",2.87663433133648e-151,-0.08535642,0.83600228,0.9213587,0.604
"305","ENSG00000154274","hurdle",0,-2.5188375,-0.7808329,1.7380046,0.603
"464","ENSG00000205517","hurdle",0,-2.992475,-1.269153,1.723322,0.602
"402","ENSG00000174776","hurdle",0,-2.2973639,-0.1316814,2.1656825,0.602
"293","ENSG00000152518","hurdle",1.83298354607102e-321,-2.2841784,-0.6613313,1.6228471,0.602
"126","ENSG00000113645","hurdle",8.71460885280618e-158,0.1298844,0.7022292,0.5723448,0.602
"4","ENSG00000004799","hurdle",0,-2.61191751,0.04177459,2.6536921,0.602
"2","ENSG00000003989","hurdle",0,-2.5513493,-0.7752372,1.7761121,0.602
"459","ENSG00000203876","hurdle",1.10751200392913e-218,-1.5166172,-0.3509061,1.1657111,0.601
"138","ENSG00000116132","hurdle",2.75431483126338e-198,-0.93222653,0.01511256,0.94733909,0.601
"453","ENSG00000197977","hurdle",3.36809479148119e-297,-2.1284274,-0.6430972,1.4853302,0.6
"233","ENSG00000138185","hurdle",1.39650980931155e-265,-1.98972,-0.5090931,1.4806269,0.6
"210","ENSG00000134824","hurdle",1.12922172258353e-222,-1.01966708,0.07966559,1.09933267,0.6
"208","ENSG00000134769","hurdle",1.29344268867809e-125,3.204728,3.753582,0.548854,0.6
"62","ENSG00000091409","hurdle",4.70308387174513e-222,-1.7145566,-0.6217394,1.0928172,0.6
"374","ENSG00000168461","hurdle",7.95476766465022e-151,-0.7667847,0.1108903,0.877675,0.599
"332","ENSG00000163285","hurdle",2.35042295175808e-210,-1.4954528,-0.4559053,1.0395475,0.599
"314","ENSG00000156076","hurdle",0,-2.1878232,-0.1520837,2.0357395,0.599
"53","ENSG00000082781","hurdle",2.98170806808066e-241,-1.937915,-0.711509,1.226406,0.599
"397","ENSG00000173905","hurdle",6.52006831077426e-133,-0.4956389,0.2013343,0.6969732,0.598
"383","ENSG00000170370","hurdle",0,-2.914113,-1.312622,1.601491,0.598
"251","ENSG00000143514","hurdle",3.57107852044903e-192,-1.6177115,-0.5393361,1.0783754,0.598
"492","ENSG00000241316","hurdle",1.75352442116367e-176,-1.20844047,-0.03675832,1.17168215,0.597
"211","ENSG00000134873","hurdle",0,-2.772673,-1.048372,1.724301,0.597
"382","ENSG00000170345","hurdle",1.29235600358673e-249,-1.4203781,0.2897077,1.7100858,0.596
"333","ENSG00000163346","hurdle",0,-2.569842,-1.174455,1.395387,0.596
"153","ENSG00000121310","hurdle",3.55151952209784e-117,-0.3998008,0.312368,0.7121688,0.595
"112","ENSG00000108370","hurdle",2.77027017114054e-279,-2.2835089,-0.8072371,1.4762718,0.595
"10","ENSG00000011201","hurdle",9.70656522660968e-204,-1.4683419,-0.4814946,0.9868473,0.595
"113","ENSG00000109062","hurdle",0,-2.845904,-1.280559,1.565345,0.594
"433","ENSG00000185432","hurdle",3.54000092870567e-313,-2.423266,-1.018684,1.404582,0.593
"307","ENSG00000154319","hurdle",0,-2.816939,-1.258704,1.558235,0.593
"155","ENSG00000122756","hurdle",1.38186100142851e-227,-2.0020031,-0.7758579,1.2261452,0.593
"479","ENSG00000227640","hurdle",0,-2.982878,-1.001887,1.980991,0.592
"230","ENSG00000137561","hurdle",0,-2.80536,-1.149306,1.656054,0.592
"367","ENSG00000167601","hurdle",3.79865620534194e-304,-2.608727,-1.240599,1.368128,0.591
"317","ENSG00000158467","hurdle",5.27666231442108e-106,1.700286,2.602256,0.90197,0.591
"57","ENSG00000087266","hurdle",0,-2.905228,-1.438652,1.466576,0.591
"378","ENSG00000169439","hurdle",2.58951909581936e-158,-1.3365338,-0.2712958,1.065238,0.59
"364","ENSG00000166925","hurdle",1.70954124869148e-162,-1.6856987,-0.7475797,0.938119,0.589
"56","ENSG00000084636","hurdle",1.35593507555113e-141,-1.5046302,-0.6544665,0.8501637,0.589
"395","ENSG00000172728","hurdle",8.80492778432856e-183,-1.3567431,-0.1983436,1.1583995,0.588
"347","ENSG00000164877","hurdle",1.01259526482735e-126,-1.2915501,-0.4982976,0.7932525,0.588
"189","ENSG00000130876","hurdle",0,-3.168188,-1.599649,1.568539,0.588
"491","ENSG00000241231","hurdle",0,-2.3714086,-0.2294618,2.1419468,0.587
"417","ENSG00000180263","hurdle",2.6503003540475e-116,-0.2264328,0.2795874,0.5060202,0.587
"306","ENSG00000154310","hurdle",2.07216257620277e-111,2.753403,3.354299,0.600896,0.587
"513","ENSG00000263400","hurdle",3.97178148456991e-302,-2.698868,-1.232909,1.465959,0.586
"273","ENSG00000148411","hurdle",4.09180320117812e-137,-1.3423089,-0.4588924,0.8834165,0.586
"167","ENSG00000124782","hurdle",3.44342480923353e-190,-1.7386714,-0.8257547,0.9129167,0.586
"33","ENSG00000069702","hurdle",2.7776045829908e-158,-1.658448,-0.6544665,1.0039815,0.586
"510","ENSG00000259417","hurdle",1.87740423800375e-225,-1.9079909,-0.8174243,1.0905666,0.584
"191","ENSG00000131941","hurdle",0,-2.774177,-1.230355,1.543822,0.584
"117","ENSG00000110090","hurdle",1.56326684772808e-158,-1.7403241,-0.8569367,0.8833874,0.584
"60","ENSG00000088826","hurdle",2.23538891348614e-256,-2.467596,-1.205057,1.262539,0.584
"34","ENSG00000070759","hurdle",2.36434127445638e-108,-0.65718124,0.02583657,0.68301781,0.584
"163","ENSG00000124126","hurdle",9.55610301255953e-88,-0.169536,0.4711904,0.6407264,0.583
"290","ENSG00000151929","hurdle",2.36788951465882e-294,-2.5793421,-0.9379741,1.641368,0.582
"239","ENSG00000139132","hurdle",1.23896944327005e-91,0.3716508,1.0880642,0.7164134,0.582
"157","ENSG00000123094","hurdle",8.55841665438525e-95,-0.4263443,0.2870357,0.71338,0.582
"74","ENSG00000100033","hurdle",0,-3.188851,-1.668287,1.520564,0.582
"38","ENSG00000074964","hurdle",6.9235256667161e-92,-0.65848269,-0.02490525,0.63357744,0.582
"457","ENSG00000198795","hurdle",1.12010503127427e-92,-0.3467709,0.2947413,0.6415122,0.581
"95","ENSG00000103811","hurdle",1.41717848009354e-269,-2.356264,-1.007707,1.348557,0.581
"512","ENSG00000263146","hurdle",0,-3.103422,-1.635248,1.468174,0.58
"228","ENSG00000137033","hurdle",0,-3.113858,-1.464435,1.649423,0.58
"520","ENSG00000276649","hurdle",2.79812424208853e-137,-1.8161448,-0.8962115,0.9199333,0.579
"515","ENSG00000270629","hurdle",1.54052290344677e-306,-2.912663,-1.616227,1.296436,0.579
"427","ENSG00000183762","hurdle",2.17808271399297e-153,-1.6805774,-0.6222974,1.05828,0.578
"399","ENSG00000174306","hurdle",4.13741180254716e-74,1.262835,1.882283,0.619448,0.578
"316","ENSG00000157833","hurdle",0,-2.953401,-1.588702,1.364699,0.578
"106","ENSG00000106624","hurdle",0,-3.102713,-1.558485,1.544228,0.578
"384","ENSG00000170425","hurdle",0,-3.076034,-1.567054,1.50898,0.577
"148","ENSG00000119408","hurdle",1.34816334619146e-103,-1.3821766,-0.6693818,0.7127948,0.577
"42","ENSG00000077942","hurdle",4.94065645841247e-324,-2.920344,-1.507082,1.413262,0.577
"489","ENSG00000239381","hurdle",4.51068855253966e-134,-1.6165306,-0.5777832,1.0387474,0.576
"327","ENSG00000162496","hurdle",6.73164732792037e-202,-2.488585,-1.31894,1.169645,0.576
