"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Inhib","log2fold_change","Auc"
"185","ENSG00000134215","hurdle",0,-0.3389571,2.6331994,2.9721565,0.764
"73","ENSG00000101333","hurdle",0,0.9221458,2.7360208,1.813875,0.764
"459","ENSG00000182836","hurdle",0,-0.368614,1.907497,2.276111,0.762
"221","ENSG00000141404","hurdle",0,0.2328096,1.7415613,1.5087517,0.761
"100","ENSG00000109265","hurdle",0,-0.4891831,1.88286,2.3720431,0.761
"214","ENSG00000139915","hurdle",0,4.519052,5.609557,1.090505,0.76
"464","ENSG00000183166","hurdle",0,1.404252,3.074433,1.670181,0.759
"241","ENSG00000144868","hurdle",0,2.874466,3.905645,1.031179,0.759
"46","ENSG00000078177","hurdle",0,-1.2932841,0.9438237,2.2371078,0.759
"13","ENSG00000021645","hurdle",0,5.980345,6.937482,0.957137,0.758
"149","ENSG00000122547","hurdle",0,-0.4299931,1.4440121,1.8740052,0.757
"43","ENSG00000077044","hurdle",0,-0.7913339,1.4645162,2.2558501,0.757
"220","ENSG00000140945","hurdle",0,2.325839,3.819065,1.493226,0.755
"207","ENSG00000137968","hurdle",0,2.405878,3.532097,1.126219,0.755
"480","ENSG00000185551","hurdle",0,-2.517028,1.132595,3.649623,0.754
"448","ENSG00000180875","hurdle",0,-1.075105,1.545525,2.62063,0.753
"420","ENSG00000173482","hurdle",0,0.9383949,3.13866,2.2002651,0.753
"140","ENSG00000118922","hurdle",0,1.654009,3.00559,1.351581,0.753
"466","ENSG00000183783","hurdle",0,1.872957,3.7404,1.867443,0.752
"348","ENSG00000164116","hurdle",0,-0.04823008,2.29672441,2.34495449,0.751
"205","ENSG00000137766","hurdle",0,1.635034,3.7597,2.124666,0.75
"303","ENSG00000154240","hurdle",0,1.384637,3.413505,2.028868,0.749
"268","ENSG00000148948","hurdle",0,4.205192,5.377027,1.171835,0.749
"1","ENSG00000003096","hurdle",0,-1.839274,1.127114,2.966388,0.749
"582","ENSG00000269821","hurdle",0,1.263366,2.458749,1.195383,0.748
"297","ENSG00000154127","hurdle",0,-1.150803,1.35656,2.507363,0.745
"267","ENSG00000148516","hurdle",0,2.409144,3.829446,1.420302,0.745
"413","ENSG00000172159","hurdle",0,0.1691759,1.7239111,1.5547352,0.744
"424","ENSG00000174469","hurdle",0,5.79122,6.603809,0.812589,0.743
"366","ENSG00000166147","hurdle",0,1.192649,2.583391,1.390742,0.742
"338","ENSG00000162989","hurdle",0,2.619744,3.448054,0.82831,0.741
"174","ENSG00000132170","hurdle",0,-0.8112785,1.3204778,2.1317563,0.741
"521","ENSG00000198673","hurdle",0,3.512041,4.527918,1.015877,0.74
"7","ENSG00000009694","hurdle",0,0.2366461,2.1198237,1.8831776,0.74
"429","ENSG00000175352","hurdle",0,-1.0095051,0.9409067,1.9504118,0.739
"262","ENSG00000148143","hurdle",0,-0.008385468,1.50760754,1.515993008,0.739
"547","ENSG00000231160","hurdle",0,-0.5981043,1.2882279,1.8863322,0.738
"319","ENSG00000157152","hurdle",0,2.974817,3.810227,0.83541,0.738
"461","ENSG00000182985","hurdle",0,2.673893,4.114896,1.441003,0.737
"411","ENSG00000171951","hurdle",0,0.1004129,1.788241,1.6878281,0.737
"335","ENSG00000162849","hurdle",0,0.03774694,2.3456325,2.30788556,0.737
"209","ENSG00000138639","hurdle",0,0.01061101,2.8605311,2.84992009,0.737
"158","ENSG00000127124","hurdle",0,2.282148,3.062639,0.780491,0.737
"244","ENSG00000145349","hurdle",0,2.4426,3.644004,1.201404,0.735
"23","ENSG00000048052","hurdle",0,3.17629,4.098126,0.921836,0.735
"280","ENSG00000151572","hurdle",0,1.494933,2.935684,1.440751,0.733
"194","ENSG00000136111","hurdle",0,0.595079,1.816866,1.221787,0.733
"155","ENSG00000124749","hurdle",0,-0.8862161,1.2338945,2.1201106,0.733
"144","ENSG00000120693","hurdle",0,-1.8306544,0.8382668,2.6689212,0.732
"83","ENSG00000102466","hurdle",0,5.008144,5.644056,0.635912,0.732
"132","ENSG00000116991","hurdle",0,0.5377182,2.3742008,1.8364826,0.731
"12","ENSG00000020577","hurdle",0,0.9348903,2.0223682,1.0874779,0.731
"519","ENSG00000198300","hurdle",0,1.415641,2.432981,1.01734,0.729
"465","ENSG00000183570","hurdle",0,-0.4710464,3.0306122,3.5016586,0.729
"277","ENSG00000151322","hurdle",0,3.395547,4.580887,1.18534,0.729
"139","ENSG00000118495","hurdle",0,-0.3091491,1.2820765,1.5912256,0.729
"121","ENSG00000114374","hurdle",0,1.04132,2.234734,1.193414,0.728
"36","ENSG00000072315","hurdle",0,0.08127833,1.83041838,1.74914005,0.728
"481","ENSG00000185666","hurdle",0,2.941734,3.690253,0.748519,0.727
"409","ENSG00000171877","hurdle",0,3.243094,4.216645,0.973551,0.727
"388","ENSG00000169760","hurdle",0,4.66195,5.427249,0.765299,0.727
"269","ENSG00000149972","hurdle",0,3.576204,4.46036,0.884155999999999,0.727
"170","ENSG00000130226","hurdle",0,3.813509,4.787066,0.973557,0.727
"122","ENSG00000114423","hurdle",0,0.1739745,1.6595937,1.4856192,0.726
"104","ENSG00000109790","hurdle",0,0.2923275,1.6700775,1.37775,0.726
"535","ENSG00000204442","hurdle",0,5.41938,6.04336,0.62398,0.725
"176","ENSG00000132932","hurdle",0,3.412874,4.022544,0.60967,0.725
"55","ENSG00000088970","hurdle",0,0.525689,1.93619,1.410501,0.725
