"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.OPC","log2fold_change","Auc"
"13","ENSG00000187416","hurdle",0,0.490803,5.143891,4.653088,0.978
"1","ENSG00000038427","hurdle",0,-1.703082,3.497198,5.20028,0.974
"8","ENSG00000157890","hurdle",0,-1.417116,2.584467,4.001583,0.94
"6","ENSG00000134853","hurdle",0,-2.556781,1.949487,4.506268,0.927
"16","ENSG00000198732","hurdle",0,-1.951801,2.02049,3.972291,0.913
"9","ENSG00000169302","hurdle",0,-2.558183,1.340254,3.898437,0.863
"15","ENSG00000196562","hurdle",0,-1.219458,1.36385,2.583308,0.852
"5","ENSG00000112280","hurdle",0,-2.852333,1.005937,3.85827,0.847
"4","ENSG00000101311","hurdle",0,-2.8848074,0.9657605,3.8505679,0.834
"14","ENSG00000196132","hurdle",0,-1.829453,1.130727,2.96018,0.831
"3","ENSG00000075461","hurdle",0,-1.8798017,0.9873021,2.8671038,0.829
"2","ENSG00000065320","hurdle",0,-2.1555807,0.9906742,3.1462549,0.825
"7","ENSG00000152527","hurdle",0,-0.9762587,1.0778068,2.0540655,0.811
"17","ENSG00000203805","hurdle",0,-2.272073,0.726966,2.999039,0.788
"12","ENSG00000179314","hurdle",0,-2.2609936,0.3950062,2.6559998,0.763
"11","ENSG00000175928","hurdle",0,0.1366852,1.5216207,1.3849355,0.76
"10","ENSG00000174945","hurdle",0,-1.0231484,0.8826935,1.9058419,0.759
"18","ENSG00000231871","hurdle",5.6577399742388e-170,-0.5702409,0.707971,1.2782119,0.655
