"","job_id","user","name","partition","cpus","requested_mem_gb","max_rss_gb","max_vmem_gb","array_task_id","exit_code","wallclock_time","status","method","HVG","n_gene"
"1",11834366,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,3.88,4.7,1,0,72,"COMPLETED","Bisque","HVG20",1623
"2",11834367,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,3.78,4.28,2,0,74,"COMPLETED","Bisque","HVG30",2434
"3",11834368,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,4.11,4.32,3,0,77,"COMPLETED","Bisque","HVG40",3245
"4",11834369,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,8.02,8.08,4,0,80,"COMPLETED","Bisque","HVG50",4056
"5",11834370,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,9.39,9.47,5,0,84,"COMPLETED","Bisque","HVG60",4868
"6",11834371,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,25.97,26.39,6,0,95,"COMPLETED","Bisque","HVG70",5679
"7",11834372,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,32.02,32.3,7,0,100,"COMPLETED","Bisque","HVG80",6490
"8",11834373,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,35.97,36.02,8,0,103,"COMPLETED","Bisque","HVG90",7302
"9",11834374,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,39.81,39.9,9,0,108,"COMPLETED","Bisque","HVG100",8113
"10",11834362,"lhuuki","01_deconvolution_Bisque_HVG","shared",1,25,1.49,1.94,10,0,58,"COMPLETED","Bisque","HVG10",811
"11",11837335,"lhuuki","02_deconvolution_MuSiC_HVG","shared",1,25,4.04,4.65,1,0,4575,"COMPLETED","MuSiC","HVG20",1623
"12",11837336,"lhuuki","02_deconvolution_MuSiC_HVG","shared",1,25,3.48,3.68,2,0,4583,"COMPLETED","MuSiC","HVG30",2434
"13",11837337,"lhuuki","02_deconvolution_MuSiC_HVG","shared",1,25,4.08,4.12,3,0,4599,"COMPLETED","MuSiC","HVG40",3245
"14",11837338,"lhuuki","02_deconvolution_MuSiC_HVG","shared",2,25,4.08,4.22,4,0,4347,"COMPLETED","MuSiC","HVG50",4056
"15",11837339,"lhuuki","02_deconvolution_MuSiC_HVG","shared",2,25,2.97,3.16,5,0,4348,"COMPLETED","MuSiC","HVG60",4868
"16",11837340,"lhuuki","02_deconvolution_MuSiC_HVG","shared",2,25,2.99,3.07,6,0,4351,"COMPLETED","MuSiC","HVG70",5679
