"SAMPLE_ID","auto_drop","auto_warn","qc_class"
"AN00000906_Br3942_Ant_Nuc",FALSE,FALSE,"pass"
"AN00000906_Br3942_Mid_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br3942_Mid_Cyto",FALSE,FALSE,"pass"
"AN00000906_Br3942_Mid_Nuc",FALSE,FALSE,"pass"
"AN00000906_Br6423_Ant_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br6423_Ant_Cyto",FALSE,FALSE,"pass"
"AN00000906_Br6423_Ant_Nuc",FALSE,FALSE,"pass"
"AN00000906_Br6423_Post_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br6423_Post_Cyto",FALSE,FALSE,"pass"
"AN00000906_Br6423_Post_Nuc",FALSE,FALSE,"pass"
"AN00000906_Br6471_Mid_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br6471_Mid_Cyto",FALSE,FALSE,"pass"
"AN00000906_Br6471_Mid_Nuc",FALSE,FALSE,"pass"
"AN00000906_Br6522_Mid_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br6522_Mid_Cyto",FALSE,FALSE,"pass"
"AN00000906_Br6522_Mid_Nuc",FALSE,FALSE,"pass"
"AN00000906_Br6522_Post_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br6522_Post_Cyto",FALSE,FALSE,"pass"
"AN00000906_Br6522_Post_Nuc",FALSE,FALSE,"pass"
"AN00000906_Br8325_Ant_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br8325_Ant_Cyto",FALSE,FALSE,"pass"
"AN00000906_Br8325_Ant_Nuc",FALSE,FALSE,"pass"
"AN00000906_Br8325_Mid_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br8325_Mid_Cyto",FALSE,FALSE,"pass"
"AN00000906_Br8325_Mid_Nuc",FALSE,TRUE,"warn"
"AN00000906_Br8492_Mid_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br8492_Mid_Cyto",FALSE,FALSE,"pass"
"AN00000906_Br8492_Mid_Nuc",FALSE,TRUE,"warn"
"AN00000906_Br8492_Post_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br8492_Post_Cyto",FALSE,FALSE,"pass"
"AN00000906_Br8492_Post_Nuc",FALSE,FALSE,"pass"
"AN00000906_Br8667_Ant_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br8667_Ant_Cyto",FALSE,FALSE,"pass"
"AN00000906_Br8667_Ant_Nuc",FALSE,FALSE,"pass"
"AN00000906_Br8667_Mid_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br8667_Mid_Cyto",FALSE,FALSE,"pass"
"AN00000906_Br8667_Mid_Nuc",FALSE,FALSE,"pass"
