"SAMPLE_ID","auto_drop","auto_warn","qc_class"
"2107UNHS-0291_Br2720_Mid_Bulk",FALSE,FALSE,"pass"
"2107UNHS-0291_Br2720_Mid_Cyto",FALSE,FALSE,"pass"
"2107UNHS-0291_Br2720_Mid_Nuc",FALSE,FALSE,"pass"
"2107UNHS-0291_Br6432_Ant_Bulk",FALSE,FALSE,"pass"
"2107UNHS-0291_Br6432_Ant_Cyto",FALSE,FALSE,"pass"
"2107UNHS-0291_Br6432_Ant_Nuc",FALSE,FALSE,"pass"
"2107UNHS-0291_Br6432_Mid_Bulk",FALSE,FALSE,"pass"
"2107UNHS-0291_Br6432_Mid_Cyto",FALSE,FALSE,"pass"
"2107UNHS-0291_Br6432_Mid_Nuc",FALSE,FALSE,"pass"
"2107UNHS-0291_Br6471_Ant_Bulk",FALSE,FALSE,"pass"
"2107UNHS-0291_Br6471_Ant_Cyto",FALSE,FALSE,"pass"
"2107UNHS-0291_Br6471_Ant_Nuc",FALSE,FALSE,"pass"
"2107UNHS-0293_Br2720_Mid_Bulk",FALSE,FALSE,"pass"
"2107UNHS-0293_Br2720_Mid_Cyto",FALSE,FALSE,"pass"
"2107UNHS-0293_Br2720_Mid_Nuc",TRUE,FALSE,"drop"
"2107UNHS-0293_Br6432_Ant_Bulk",FALSE,FALSE,"pass"
"2107UNHS-0293_Br6432_Ant_Cyto",FALSE,FALSE,"pass"
"2107UNHS-0293_Br6432_Ant_Nuc",FALSE,FALSE,"pass"
"2107UNHS-0293_Br6432_Mid_Bulk",FALSE,FALSE,"pass"
"2107UNHS-0293_Br6432_Mid_Cyto",FALSE,FALSE,"pass"
"2107UNHS-0293_Br6432_Mid_Nuc",FALSE,FALSE,"pass"
"2107UNHS-0293_Br6471_Ant_Bulk",FALSE,FALSE,"pass"
"2107UNHS-0293_Br6471_Ant_Cyto",FALSE,FALSE,"pass"
"2107UNHS-0293_Br6471_Ant_Nuc",FALSE,FALSE,"pass"
"AN00000904_Br2720_Post_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br2720_Post_Cyto",FALSE,FALSE,"pass"
"AN00000904_Br2720_Post_Nuc",FALSE,FALSE,"pass"
"AN00000904_Br2743_Ant_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br2743_Ant_Cyto",TRUE,TRUE,"drop"
"AN00000904_Br2743_Ant_Nuc",FALSE,TRUE,"warn"
"AN00000904_Br3942_Ant_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br3942_Ant_Cyto",FALSE,FALSE,"pass"
"AN00000904_Br3942_Ant_Nuc",FALSE,FALSE,"pass"
"AN00000904_Br3942_Mid_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br3942_Mid_Cyto",FALSE,FALSE,"pass"
"AN00000904_Br3942_Mid_Nuc",FALSE,FALSE,"pass"
"AN00000904_Br6423_Ant_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br6423_Ant_Cyto",FALSE,FALSE,"pass"
"AN00000904_Br6423_Ant_Nuc",FALSE,FALSE,"pass"
"AN00000904_Br6423_Post_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br6423_Post_Cyto",FALSE,FALSE,"pass"
"AN00000904_Br6423_Post_Nuc",FALSE,FALSE,"pass"
"AN00000904_Br6471_Mid_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br6471_Mid_Cyto",FALSE,FALSE,"pass"
"AN00000904_Br6471_Mid_Nuc",FALSE,FALSE,"pass"
"AN00000904_Br6522_Mid_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br6522_Mid_Cyto",FALSE,TRUE,"warn"
"AN00000904_Br6522_Mid_Nuc",FALSE,FALSE,"pass"
"AN00000904_Br6522_Post_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br6522_Post_Cyto",FALSE,FALSE,"pass"
"AN00000904_Br6522_Post_Nuc",FALSE,FALSE,"pass"
"AN00000904_Br8325_Ant_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br8325_Ant_Cyto",FALSE,TRUE,"warn"
"AN00000904_Br8325_Ant_Nuc",FALSE,TRUE,"warn"
"AN00000904_Br8325_Mid_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br8325_Mid_Cyto",FALSE,FALSE,"pass"
"AN00000904_Br8492_Mid_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br8492_Mid_Cyto",FALSE,TRUE,"warn"
"AN00000904_Br8492_Mid_Nuc",FALSE,TRUE,"warn"
"AN00000904_Br8492_Post_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br8492_Post_Cyto",FALSE,TRUE,"warn"
"AN00000904_Br8492_Post_Nuc",FALSE,FALSE,"pass"
"AN00000904_Br8667_Ant_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br8667_Ant_Cyto",FALSE,FALSE,"pass"
"AN00000904_Br8667_Ant_Nuc",FALSE,FALSE,"pass"
"AN00000904_Br8667_Mid_Bulk",FALSE,FALSE,"pass"
"AN00000904_Br8667_Mid_Cyto",FALSE,FALSE,"pass"
"AN00000904_Br8667_Mid_Nuc",FALSE,FALSE,"pass"
"AN00000906_Br2720_Post_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br2720_Post_Cyto",FALSE,FALSE,"pass"
"AN00000906_Br2720_Post_Nuc",FALSE,FALSE,"pass"
"AN00000906_Br2743_Ant_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br2743_Ant_Cyto",FALSE,TRUE,"warn"
"AN00000906_Br2743_Ant_Nuc",FALSE,FALSE,"pass"
"AN00000906_Br3942_Ant_Bulk",FALSE,FALSE,"pass"
"AN00000906_Br3942_Ant_Cyto",FALSE,FALSE,"pass"
