sample_id,cell_type,prop,cell_size_opt
2107UNHS-0291_Br2720_Mid_Bulk,Inhib,0.3600448698839616,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Bulk,Oligo,0.39703921629898076,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Bulk,OPC,0.00468771801543374,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Bulk,Excit,0.17511300508476996,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Bulk,Astro,0,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Bulk,EndoMural,0.058851977139836094,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Bulk,Micro,0.00426321357701774,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Cyto,Inhib,0.2191041014535709,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Cyto,Oligo,0.29005792043278256,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Cyto,OPC,0.024561410688834998,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Cyto,Excit,0.4351021860663016,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Cyto,Astro,0,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Cyto,EndoMural,0.0257092042705241,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Cyto,Micro,0.005465177087985789,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Nuc,Inhib,0.36686230497940114,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Nuc,Oligo,0.15700433425364915,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Nuc,OPC,0.04171472007454159,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Nuc,Excit,0.3580523043356645,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Nuc,Astro,2.3455537565448937e-4,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Nuc,EndoMural,0.07007861377989201,nuc_area_akt3
2107UNHS-0291_Br2720_Mid_Nuc,Micro,0.006053167201197175,nuc_area_akt3
2107UNHS-0291_Br6432_Ant_Bulk,Inhib,0.32464911868196206,nuc_area_akt3
2107UNHS-0291_Br6432_Ant_Bulk,Oligo,0.2335852308332356,nuc_area_akt3
2107UNHS-0291_Br6432_Ant_Bulk,OPC,0.022614592475406706,nuc_area_akt3
2107UNHS-0291_Br6432_Ant_Bulk,Excit,0.3230980065922379,nuc_area_akt3
2107UNHS-0291_Br6432_Ant_Bulk,Astro,0.01948011130944173,nuc_area_akt3
2107UNHS-0291_Br6432_Ant_Bulk,EndoMural,0.06934803801247719,nuc_area_akt3
2107UNHS-0291_Br6432_Ant_Bulk,Micro,0.007224902095238722,nuc_area_akt3
