"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Excit","log2fold_change","Auc"
"5","ENSG00000070808","hurdle",0,0.04537156,4.00104236,3.9556708,0.913
"9","ENSG00000128656","hurdle",0,1.17141,4.664773,3.493363,0.91
"21","ENSG00000185518","hurdle",0,-0.7174146,4.0040211,4.7214357,0.905
"14","ENSG00000157782","hurdle",0,-0.8101552,3.7410605,4.5512157,0.897
"10","ENSG00000130558","hurdle",0,0.2715667,3.6148411,3.3432744,0.89
"20","ENSG00000184613","hurdle",0,0.01802662,4.38279593,4.36476931,0.888
"12","ENSG00000143013","hurdle",0,-0.06001893,3.61081029,3.67082922,0.879
"6","ENSG00000104888","hurdle",0,-1.629021,2.215442,3.844463,0.876
"19","ENSG00000176788","hurdle",0,0.9309015,3.8199392,2.8890377,0.864
"8","ENSG00000119042","hurdle",0,-1.677791,3.360395,5.038186,0.86
"18","ENSG00000166501","hurdle",0,1.526708,4.70848,3.181772,0.859
"11","ENSG00000136854","hurdle",0,1.058528,3.765533,2.707005,0.859
"24","ENSG00000196872","hurdle",0,-1.603716,3.113171,4.716887,0.852
"1","ENSG00000002746","hurdle",0,0.3764898,4.3328856,3.9563958,0.851
"23","ENSG00000188191","hurdle",0,-0.1266605,2.6276377,2.7542982,0.846
"4","ENSG00000066248","hurdle",0,-1.613869,2.023746,3.637615,0.837
"25","ENSG00000273032","hurdle",0,-0.5910767,2.6325974,3.2236741,0.834
"15","ENSG00000158445","hurdle",0,0.5099584,3.2779524,2.767994,0.831
"13","ENSG00000149091","hurdle",0,-0.510527,2.208866,2.719393,0.828
"16","ENSG00000160145","hurdle",0,2.072659,5.482584,3.409925,0.824
"22","ENSG00000186260","hurdle",0,0.9137701,3.8116472,2.8978771,0.822
"17","ENSG00000164061","hurdle",0,-0.3824367,2.2514631,2.6338998,0.82
"3","ENSG00000011347","hurdle",0,-0.8465093,2.0021921,2.8487014,0.815
"7","ENSG00000116254","hurdle",0,0.5114626,2.6731597,2.1616971,0.804
"2","ENSG00000004660","hurdle",0,-1.707864,1.317978,3.025842,0.796
