"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Inhib","log2fold_change","Auc"
"5","ENSG00000128683","hurdle",0,-1.871716,3.015619,4.887335,0.926
"11","ENSG00000151789","hurdle",0,1.203126,4.65437,3.451244,0.923
"20","ENSG00000171189","hurdle",0,0.8051733,5.8616706,5.0564973,0.915
"8","ENSG00000144642","hurdle",0,1.637274,4.894618,3.257344,0.913
"10","ENSG00000151136","hurdle",0,-1.560157,3.467452,5.027609,0.912
"6","ENSG00000136750","hurdle",0,-2.165703,3.120188,5.285891,0.911
"13","ENSG00000157103","hurdle",0,-0.07393365,2.86133858,2.93527223,0.888
"7","ENSG00000144596","hurdle",0,-2.546442,1.737267,4.283709,0.887
"26","ENSG00000188158","hurdle",0,-0.3596936,2.5631522,2.9228458,0.886
"2","ENSG00000029534","hurdle",0,-1.390784,2.071578,3.462362,0.884
"25","ENSG00000187957","hurdle",0,0.4007643,3.034929,2.6341647,0.869
"1","ENSG00000017427","hurdle",0,-2.762626,1.409979,4.172605,0.843
"18","ENSG00000168916","hurdle",0,-0.3818504,2.2000602,2.5819106,0.834
"28","ENSG00000232044","hurdle",0,-0.8596669,1.8965097,2.7561766,0.832
"15","ENSG00000163630","hurdle",0,1.00335,4.201832,3.198482,0.83
"12","ENSG00000156273","hurdle",0,-0.6890242,2.1124567,2.8014809,0.83
"22","ENSG00000184408","hurdle",0,3.302665,5.910054,2.607389,0.829
"21","ENSG00000174473","hurdle",0,2.694932,6.472667,3.777735,0.827
"19","ENSG00000169122","hurdle",0,0.05400735,2.18460107,2.13059372,0.809
"9","ENSG00000150556","hurdle",0,-2.139412,1.561954,3.701366,0.801
"24","ENSG00000187123","hurdle",0,-2.391285,1.384191,3.775476,0.787
"16","ENSG00000164512","hurdle",0,-2.0818863,0.8370268,2.9189131,0.778
"14","ENSG00000157404","hurdle",0,-2.661609,2.441814,5.103423,0.776
"23","ENSG00000185551","hurdle",0,-2.517028,1.132595,3.649623,0.754
"4","ENSG00000106278","hurdle",0,1.05957,2.169989,1.110419,0.702
"27","ENSG00000196132","hurdle",0,-1.8093273,-0.7377262,1.0716011,0.614
"3","ENSG00000075461","hurdle",0,-1.897424,-0.7731561,1.1242679,0.582
"17","ENSG00000165025","hurdle",7.84398323096983e-214,-2.58942,-2.055844,0.533576,0.535
