"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"70","ENSG00000107099","hurdle",0,-2.725664,2.364739,5.090403,0.942
"166","ENSG00000148655","hurdle",0,0.60436,3.818007,3.213647,0.937
"29","ENSG00000077420","hurdle",0,-2.85272,2.465905,5.318625,0.93
"203","ENSG00000168918","hurdle",0,-1.86432,1.824401,3.688721,0.9
"21","ENSG00000059377","hurdle",0,-2.7094,1.555252,4.264652,0.883
"14","ENSG00000042980","hurdle",0,-2.285897,1.524886,3.810783,0.882
"26","ENSG00000073849","hurdle",0,0.4392296,3.0264628,2.5872332,0.864
"96","ENSG00000120594","hurdle",0,2.083025,4.151946,2.068921,0.86
"250","ENSG00000198879","hurdle",0,0.9387381,3.1221957,2.1834576,0.854
"109","ENSG00000125730","hurdle",0,-2.97831,1.066522,4.044832,0.854
"71","ENSG00000107719","hurdle",0,-1.783586,1.341831,3.125417,0.848
"32","ENSG00000082074","hurdle",0,-3.003192,1.227186,4.230378,0.848
"234","ENSG00000182578","hurdle",0,-2.9797619,0.9663133,3.9460752,0.844
"136","ENSG00000137491","hurdle",0,-2.073483,1.357038,3.430521,0.844
"108","ENSG00000125257","hurdle",0,-1.138627,1.720772,2.859399,0.838
"127","ENSG00000134516","hurdle",0,-1.418595,1.347154,2.765749,0.836
"144","ENSG00000138639","hurdle",0,1.058781,2.886514,1.827733,0.835
"102","ENSG00000123104","hurdle",0,1.45299,3.006866,1.553876,0.831
"270","ENSG00000266028","hurdle",0,0.7709926,2.735717,1.9647244,0.83
"59","ENSG00000104043","hurdle",0,-0.9611449,1.5963616,2.5575065,0.829
"134","ENSG00000136250","hurdle",0,-1.324416,1.355982,2.680398,0.82
"266","ENSG00000254087","hurdle",0,-2.6090576,0.8401156,3.4491732,0.813
"147","ENSG00000139679","hurdle",0,-1.7975086,0.8886208,2.6861294,0.811
"31","ENSG00000081237","hurdle",0,-2.9014165,0.6504948,3.5519113,0.806
"194","ENSG00000165025","hurdle",0,-2.8423074,0.6738417,3.5161491,0.803
"65","ENSG00000106034","hurdle",0,-2.2370888,0.9570596,3.1941484,0.802
"201","ENSG00000168329","hurdle",0,-3.1342434,0.9556664,4.0899098,0.796
"188","ENSG00000162946","hurdle",0,-0.03464532,1.75614852,1.79079384,0.793
"169","ENSG00000151702","hurdle",0,-2.092765,0.6794792,2.7722442,0.792
"161","ENSG00000146090","hurdle",0,-0.943028,1.450013,2.393041,0.792
"115","ENSG00000129667","hurdle",0,-3.083415,0.4153303,3.4987453,0.792
"204","ENSG00000169313","hurdle",0,-1.648724,1.342542,2.991266,0.791
"30","ENSG00000079215","hurdle",0,0.6947443,2.2196414,1.5248971,0.789
"149","ENSG00000140678","hurdle",0,-3.191246,0.365141,3.556387,0.78
"238","ENSG00000184384","hurdle",0,0.8391991,2.3492599,1.5100608,0.778
"273","ENSG00000273749","hurdle",0,0.0830425,1.8751489,1.7921064,0.776
"211","ENSG00000171310","hurdle",0,0.8101045,2.2194479,1.4093434,0.773
"113","ENSG00000128815","hurdle",0,-2.8986676,0.3232611,3.2219287,0.773
"148","ENSG00000140548","hurdle",0,-1.213144,1.031244,2.244388,0.772
"177","ENSG00000155307","hurdle",0,-2.8655079,0.6337499,3.4992578,0.77
"272","ENSG00000273409","hurdle",0,-3.1076981,0.7384607,3.8461588,0.769
"239","ENSG00000185650","hurdle",0,-1.666901,0.923246,2.590147,0.768
"167","ENSG00000148908","hurdle",0,-3.1407247,0.1882115,3.3289362,0.767
"142","ENSG00000138185","hurdle",0,-2.0224697,0.6470462,2.6695159,0.761
"155","ENSG00000142347","hurdle",0,-2.5525642,0.3029524,2.8555166,0.758
"160","ENSG00000145685","hurdle",0,-0.710855,1.378685,2.08954,0.757
"133","ENSG00000136205","hurdle",0,-1.4209171,0.6957045,2.1166216,0.757
"24","ENSG00000067066","hurdle",0,-2.4868016,0.2493781,2.7361797,0.757
"22","ENSG00000065413","hurdle",0,0.4262704,1.9519214,1.525651,0.752
"228","ENSG00000178573","hurdle",0,-1.5244145,0.5432748,2.0676893,0.751
"189","ENSG00000163219","hurdle",0,-1.9821086,0.6822897,2.6643983,0.75
"7","ENSG00000019582","hurdle",0,-2.8747392,0.2956294,3.1703686,0.749
"81","ENSG00000112799","hurdle",0,-2.3069599,0.3901101,2.69707,0.748
"244","ENSG00000196782","hurdle",8.38746419226284e-296,0.8000176,2.0208226,1.220805,0.746
"35","ENSG00000087253","hurdle",0,-1.793035,0.614456,2.407491,0.745
"190","ENSG00000163513","hurdle",0,-2.4475307,0.4119479,2.8594786,0.744
"178","ENSG00000155629","hurdle",0,-3.0180308,0.1001603,3.1181911,0.744
"232","ENSG00000181804","hurdle",4.04440841496164e-279,0.6609717,1.9916631,1.3306914,0.743
"224","ENSG00000175899","hurdle",0,-1.339514,0.607967,1.947481,0.743
"243","ENSG00000196369","hurdle",0,-0.2593901,1.3580926,1.6174827,0.741
"94","ENSG00000119535","hurdle",0,-3.2274975,-0.1260061,3.1014914,0.739
"261","ENSG00000236963","hurdle",0,-2.4725698,0.1810757,2.6536455,0.738
"111","ENSG00000128512","hurdle",5.80316584237041e-237,3.261324,4.304207,1.042883,0.736
"263","ENSG00000245532","hurdle",2.06777266634935e-240,1.948424,2.669981,0.721557,0.734
"173","ENSG00000153208","hurdle",0,-1.165163,0.934134,2.099297,0.733
"103","ENSG00000123338","hurdle",0,-3.056686,-0.149802,2.906884,0.731
"46","ENSG00000101096","hurdle",0,-2.4766636,0.1554143,2.6320779,0.731
"117","ENSG00000130066","hurdle",2.58742771401758e-284,0.07878977,1.67888832,1.60009855,0.73
"8","ENSG00000026297","hurdle",3.02818997570845e-312,-0.8366497,0.8360831,1.6727328,0.729
"84","ENSG00000114013","hurdle",0,-3.208893,0.169905,3.378798,0.726
"242","ENSG00000196218","hurdle",0,-1.1333083,0.6372304,1.7705387,0.725
"184","ENSG00000161791","hurdle",4.58207349029473e-294,-0.6803527,0.9579877,1.6383404,0.725
"171","ENSG00000152518","hurdle",0,-2.2809033,0.3225407,2.603444,0.725
"50","ENSG00000101463","hurdle",4.81307079709083e-230,1.597417,2.844099,1.246682,0.725
"104","ENSG00000124126","hurdle",4.97798623333396e-260,-0.1789017,1.2152042,1.3941059,0.723
"150","ENSG00000140836","hurdle",3.80284137231232e-226,1.131398,1.721865,0.590467,0.722
"191","ENSG00000163565","hurdle",0,-2.5034108,-0.0153099,2.4881009,0.72
"118","ENSG00000131724","hurdle",0,-2.8678102,-0.1408325,2.7269777,0.72
"6","ENSG00000012779","hurdle",0,-2.8994525,-0.1668982,2.7325543,0.716
"219","ENSG00000173391","hurdle",0,-2.9605919,0.3859785,3.3465704,0.715
"210","ENSG00000170776","hurdle",2.05915447108737e-224,0.5372479,1.4938662,0.9566183,0.713
"19","ENSG00000053918","hurdle",0,-2.51509184,-0.05220712,2.46288472,0.713
"145","ENSG00000138756","hurdle",4.21288053152342e-215,0.3531963,1.5831892,1.2299929,0.711
"162","ENSG00000146192","hurdle",0,-3.2398693,-0.3743455,2.8655238,0.709
"74","ENSG00000109794","hurdle",0,-1.562211,0.492938,2.055149,0.709
"18","ENSG00000053254","hurdle",2.11336555087589e-193,1.862515,2.822224,0.959709,0.709
"44","ENSG00000100599","hurdle",5.56325822267577e-318,-1.536878,0.3693326,1.9062106,0.708
"202","ENSG00000168461","hurdle",3.91311094716367e-253,-0.7621738,0.8044427,1.5666165,0.707
"37","ENSG00000090376","hurdle",0,-2.424189,-0.123059,2.30113,0.7
"157","ENSG00000143119","hurdle",0,-2.5697964,-0.3272319,2.2425645,0.698
"146","ENSG00000139132","hurdle",5.28043020435078e-180,0.3886899,1.503433,1.1147431,0.695
"236","ENSG00000184005","hurdle",3.58510426469132e-167,1.681892,2.743139,1.061247,0.692
"195","ENSG00000165168","hurdle",0,-2.8996488,-0.1338945,2.7657543,0.692
"11","ENSG00000028137","hurdle",0,-3.0176047,-0.1132787,2.904326,0.691
"248","ENSG00000198286","hurdle",0,-2.7840749,-0.3603962,2.4236787,0.69
"237","ENSG00000184060","hurdle",0,-2.433253,-0.159834,2.273419,0.69
"218","ENSG00000173193","hurdle",0,-2.214571,-0.21734,1.997231,0.69
"156","ENSG00000142583","hurdle",0,-3.1036224,-0.4461898,2.6574326,0.69
"48","ENSG00000101336","hurdle",0,-3.0510064,-0.4461898,2.6048166,0.688
"33","ENSG00000082781","hurdle",1.65401118085234e-316,-1.9323665,0.1317577,2.0641242,0.688
"209","ENSG00000170677","hurdle",1.01865184883802e-295,-0.9929362,0.7395405,1.7324767,0.686
"141","ENSG00000138119","hurdle",0,-2.5343157,-0.4062334,2.1280823,0.686
"154","ENSG00000141968","hurdle",0,-3.0632669,-0.4734557,2.5898112,0.682
"105","ENSG00000124782","hurdle",1.34070553251178e-278,-1.74674888,0.02066716,1.76741604,0.682
"207","ENSG00000169896","hurdle",0,-3.2218419,-0.5893396,2.6325023,0.681
"159","ENSG00000145569","hurdle",1.27365469819217e-273,-1.9169873,-0.1658869,1.7511004,0.68
"85","ENSG00000114450","hurdle",1.27365015015175e-194,-0.8108563,0.3290115,1.1398678,0.679
"112","ENSG00000128805","hurdle",1.18963079321527e-149,0.5553863,1.5481824,0.9927961,0.678
"265","ENSG00000253988","hurdle",0,-3.1802363,-0.5598164,2.6204199,0.677
"212","ENSG00000171316","hurdle",5.48405131555706e-188,-0.5124553,0.52523,1.0376853,0.677
"76","ENSG00000110934","hurdle",0,-3.1688364,-0.5988614,2.569975,0.677
"268","ENSG00000260314","hurdle",0,-3.0883285,-0.1191389,2.9691896,0.675
"259","ENSG00000227082","hurdle",2.25708566695939e-160,-0.1683102,0.9986928,1.167003,0.675
"249","ENSG00000198771","hurdle",6.6464861409385e-282,-1.7403189,-0.1201179,1.620201,0.674
"168","ENSG00000150782","hurdle",0,-2.467178,-0.4327477,2.0344303,0.672
"130","ENSG00000135838","hurdle",4.86238744280948e-205,-1.1835066,0.3804512,1.5639578,0.672
"73","ENSG00000107738","hurdle",0,-2.8481674,-0.5558369,2.2923305,0.672
"67","ENSG00000106799","hurdle",2.87671996138263e-204,-1.2532759,0.3029524,1.5562283,0.672
"215","ENSG00000171943","hurdle",3.55960917479544e-152,-0.176908,0.9449404,1.1218484,0.67
"88","ENSG00000116711","hurdle",9.18211656804752e-268,-1.5996677,0.1060331,1.7057008,0.67
"10","ENSG00000027697","hurdle",3.04599802343664e-201,-1.0697014,0.3225407,1.3922421,0.67
"187","ENSG00000162511","hurdle",0,-3.1379434,-0.7422317,2.3957117,0.669
"97","ENSG00000120690","hurdle",2.25042777029225e-188,-1.28388492,0.03832474,1.32220966,0.668
"197","ENSG00000166033","hurdle",1.37955546238498e-170,-0.9375766,0.3665396,1.3041162,0.666
"229","ENSG00000180353","hurdle",0,-3.0214442,-0.7482738,2.2731704,0.665
"27","ENSG00000074706","hurdle",5.04146204354262e-130,1.461784,2.342702,0.880918,0.664
"16","ENSG00000047648","hurdle",3.6350250361494e-212,-0.9959233,0.2956294,1.2915527,0.664
"38","ENSG00000091592","hurdle",4.66397969674137e-321,-2.4878341,-0.4659683,2.0218658,0.662
"183","ENSG00000160712","hurdle",6.87656016437271e-231,-2.0062107,-0.3580843,1.6481264,0.661
"121","ENSG00000132669","hurdle",4.87350174769013e-158,-0.09584837,0.73142207,0.82727044,0.661
"107","ENSG00000125089","hurdle",0,-3.2344126,-0.8022501,2.4321625,0.66
"100","ENSG00000123095","hurdle",2.25750725111483e-164,-0.9217932,0.3153168,1.23711,0.66
"222","ENSG00000173926","hurdle",8.55453468828034e-195,-1.3178435,0.2711965,1.58904,0.659
"176","ENSG00000154330","hurdle",0,-2.6036114,-0.5218002,2.0818112,0.658
"98","ENSG00000122862","hurdle",0,-2.6824704,0.3138676,2.996338,0.658
"23","ENSG00000066294","hurdle",0,-3.2475935,-0.8747545,2.372839,0.658
"13","ENSG00000033867","hurdle",3.38812656925195e-120,0.3130436,1.2011636,0.88812,0.658
"185","ENSG00000162367","hurdle",0,-2.973137,-0.7711597,2.2019773,0.653
"164","ENSG00000147251","hurdle",1.10284156863294e-187,-1.07795166,-0.02995574,1.04799592,0.653
"158","ENSG00000145390","hurdle",6.17917701993438e-139,-0.2350998,0.9755081,1.2106079,0.653
"78","ENSG00000111846","hurdle",4.12105590840113e-309,-2.5502512,-0.4437364,2.1065148,0.653
"170","ENSG00000152315","hurdle",2.38385204544841e-312,-2.1511558,-0.3340312,1.8171246,0.652
"42","ENSG00000100055","hurdle",0,-3.0547173,-0.8518047,2.2029126,0.652
"199","ENSG00000167601","hurdle",1.55904326808806e-279,-2.5624747,-0.6773872,1.8850875,0.648
"152","ENSG00000140968","hurdle",0,-3.2331754,-0.7287289,2.5044465,0.648
"34","ENSG00000086062","hurdle",2.56284830528033e-231,-2.2139611,-0.4110181,1.802943,0.647
"5","ENSG00000011028","hurdle",1.46782751391435e-245,-2.3585039,-0.5879844,1.7705195,0.647
"260","ENSG00000235162","hurdle",7.35668386644652e-287,-2.5548809,-0.5825765,1.9723044,0.646
"182","ENSG00000160219","hurdle",0,-3.0756324,-0.8797202,2.1959122,0.644
"217","ENSG00000172340","hurdle",1.18073873258627e-139,-1.3800865,-0.1821531,1.1979334,0.64
"53","ENSG00000102445","hurdle",2.37500812001671e-182,-1.9430483,-0.3673539,1.5756944,0.64
"216","ENSG00000172243","hurdle",0,-3.2722874,-0.9828014,2.289486,0.638
"245","ENSG00000196935","hurdle",4.00911765879674e-100,-0.03173832,0.77367484,0.80541316,0.637
"106","ENSG00000124813","hurdle",6.10156122856016e-117,-0.409608,0.3058712,0.7154792,0.635
"90","ENSG00000117115","hurdle",2.81719059577494e-253,-1.6266249,0.6273473,2.2539722,0.635
"80","ENSG00000112343","hurdle",0,-3.117253,-1.080418,2.036835,0.635
"267","ENSG00000259124","hurdle",2.81365567827246e-225,-1.5087603,0.6050077,2.113768,0.631
"4","ENSG00000010610","hurdle",0,-3.025508,-1.042801,1.982707,0.631
"233","ENSG00000182185","hurdle",6.03516991965904e-85,0.1334086,0.9616939,0.8282853,0.629
"208","ENSG00000170542","hurdle",2.34917643530288e-118,-1.19598736,0.07043224,1.2664196,0.628
"92","ENSG00000118785","hurdle",3.07641745752086e-233,-1.6173947,0.8630866,2.4804813,0.628
"66","ENSG00000106066","hurdle",6.92688403366465e-207,-2.3602586,-0.4872843,1.8729743,0.626
"62","ENSG00000105483","hurdle",4.09786712891601e-171,-2.224249,-0.7726984,1.4515506,0.626
"119","ENSG00000132274","hurdle",1.53228970462346e-207,-2.346012,-0.884703,1.461309,0.625
"179","ENSG00000158195","hurdle",6.38414950743315e-84,-0.5151595,0.3254202,0.8405797,0.624
"163","ENSG00000147065","hurdle",2.37453174509542e-182,-2.35527,-0.813292,1.541978,0.623
"123","ENSG00000133246","hurdle",5.18164163126992e-314,-2.967365,-1.029864,1.937501,0.623
"114","ENSG00000129534","hurdle",3.58888068926114e-97,-0.8453195,-0.0354865,0.809833,0.623
"223","ENSG00000174600","hurdle",0,-3.153307,-1.017041,2.136266,0.622
"45","ENSG00000100647","hurdle",4.18221966937273e-78,-0.2442309,0.4092361,0.653467,0.622
"12","ENSG00000031081","hurdle",1.060282897974e-147,-1.4770736,-0.4449626,1.032111,0.621
"87","ENSG00000115935","hurdle",2.05421929405481e-102,-1.1439647,-0.1279742,1.0159905,0.62
