"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Excit","log2fold_change","Auc"
"999","ENSG00000154146","hurdle",0,0.5193742,4.3099336,3.7905594,0.917
"103","ENSG00000070808","hurdle",0,0.04537156,4.00104236,3.9556708,0.913
"619","ENSG00000128656","hurdle",0,1.17141,4.664773,3.493363,0.91
"1559","ENSG00000185518","hurdle",0,-0.7174146,4.0040211,4.7214357,0.905
"1057","ENSG00000157782","hurdle",0,-0.8101552,3.7410605,4.5512157,0.897
"640","ENSG00000130558","hurdle",0,0.2715667,3.6148411,3.3432744,0.89
"1540","ENSG00000184613","hurdle",0,0.01802662,4.38279593,4.36476931,0.888
"1319","ENSG00000171617","hurdle",0,-0.3216773,3.6650687,3.986746,0.888
"832","ENSG00000143013","hurdle",0,-0.06001893,3.61081029,3.67082922,0.879
"292","ENSG00000104888","hurdle",0,-1.629021,2.215442,3.844463,0.876
"622","ENSG00000128989","hurdle",0,-0.2813279,2.9272652,3.2085931,0.871
"562","ENSG00000123416","hurdle",0,0.5191514,3.3781051,2.8589537,0.861
"286","ENSG00000104435","hurdle",0,0.6237379,3.5907559,2.967018,0.861
"874","ENSG00000145335","hurdle",0,-0.189129,3.033787,3.222916,0.86
"521","ENSG00000119042","hurdle",0,-1.677791,3.360395,5.038186,0.86
"1200","ENSG00000166501","hurdle",0,1.526708,4.70848,3.181772,0.859
"558","ENSG00000123119","hurdle",0,0.1729638,3.7342906,3.5613268,0.858
"1642","ENSG00000196872","hurdle",0,-1.603716,3.113171,4.716887,0.852
"1351","ENSG00000172995","hurdle",0,0.8214944,4.6930262,3.8715318,0.851
"1329","ENSG00000172020","hurdle",0,0.3575738,3.260224,2.9026502,0.851
"1113","ENSG00000163032","hurdle",0,1.428141,4.065802,2.637661,0.851
"2","ENSG00000002746","hurdle",0,0.3764898,4.3328856,3.9563958,0.851
"1896","ENSG00000277586","hurdle",0,-0.1119005,3.07284,3.1847405,0.85
"1401","ENSG00000175874","hurdle",0,-0.248346,2.996389,3.244735,0.85
"1303","ENSG00000171246","hurdle",0,-1.811131,1.920813,3.731944,0.848
"1076","ENSG00000160014","hurdle",0,0.8005981,3.3004263,2.4998282,0.848
"610","ENSG00000128245","hurdle",0,0.181232,3.045991,2.864759,0.848
"1601","ENSG00000188191","hurdle",0,-0.1266605,2.6276377,2.7542982,0.846
"898","ENSG00000146147","hurdle",0,-1.960012,3.069152,5.029164,0.843
"571","ENSG00000124785","hurdle",0,-1.755414,1.887362,3.642776,0.842
"391","ENSG00000110931","hurdle",0,-1.063217,2.184331,3.247548,0.842
"164","ENSG00000081189","hurdle",0,2.016749,4.714398,2.697649,0.841
"1563","ENSG00000185760","hurdle",0,1.885826,5.555112,3.669286,0.839
"997","ENSG00000154096","hurdle",0,0.4803563,3.0962029,2.6158466,0.839
"166","ENSG00000081803","hurdle",0,0.09009666,4.55962172,4.46952506,0.839
"124","ENSG00000074590","hurdle",0,-0.4108302,2.8063901,3.2172203,0.838
"83","ENSG00000066248","hurdle",0,-1.613869,2.023746,3.637615,0.837
"1004","ENSG00000154277","hurdle",0,0.4113323,2.8289325,2.4176002,0.836
"680","ENSG00000133019","hurdle",0,1.48382,4.728182,3.244362,0.836
"50","ENSG00000048540","hurdle",0,-0.04691087,2.98274159,3.02965246,0.836
"1233","ENSG00000168490","hurdle",0,-1.345768,1.750012,3.09578,0.835
"522","ENSG00000119125","hurdle",0,-1.529042,2.128745,3.657787,0.835
"1889","ENSG00000273032","hurdle",0,-0.5910767,2.6325974,3.2236741,0.834
"681","ENSG00000133083","hurdle",0,2.125793,5.064278,2.938485,0.833
"1587","ENSG00000187094","hurdle",0,0.1861702,3.2398272,3.053657,0.831
"1155","ENSG00000164742","hurdle",0,0.2803418,2.9029728,2.622631,0.831
"1061","ENSG00000158445","hurdle",0,0.5099584,3.2779524,2.767994,0.831
"1060","ENSG00000158258","hurdle",0,0.2766199,4.3109887,4.0343688,0.831
"540","ENSG00000120899","hurdle",0,-1.64348,2.170809,3.814289,0.831
"730","ENSG00000135750","hurdle",0,-0.8998795,2.3385323,3.2384118,0.829
"926","ENSG00000149091","hurdle",0,-0.510527,2.208866,2.719393,0.828
"1264","ENSG00000169744","hurdle",0,1.315783,4.958319,3.642536,0.827
"506","ENSG00000117632","hurdle",0,0.5480694,3.0219224,2.473853,0.827
"498","ENSG00000117152","hurdle",0,-0.7736809,2.2893693,3.0630502,0.826
"423","ENSG00000112186","hurdle",0,0.2295586,2.7360544,2.5064958,0.826
"1555","ENSG00000185274","hurdle",0,1.332049,4.290598,2.958549,0.825
"146","ENSG00000078328","hurdle",0,4.668858,7.446907,2.778049,0.825
"1645","ENSG00000196950","hurdle",0,0.425594,3.117734,2.69214,0.824
"1077","ENSG00000160145","hurdle",0,2.072659,5.482584,3.409925,0.824
"56","ENSG00000053108","hurdle",0,-0.3120214,3.9843668,4.2963882,0.824
"1507","ENSG00000183049","hurdle",0,1.111659,4.140004,3.028345,0.823
"1016","ENSG00000154917","hurdle",0,0.02377946,2.48560854,2.46182908,0.823
"584","ENSG00000125851","hurdle",0,0.2489515,3.3954399,3.1464884,0.823
"1753","ENSG00000225206","hurdle",0,-0.5915576,2.9405821,3.5321397,0.822
