"gene","cellType.target","mean.target","cellType","mean","ratio","rank_ratio","Symbol","anno_ratio","logFC","log.p.value","log.FDR","std.logFC","rank_marker","anno_logFC","in_bulk"
"ENSG00000071909","Inhib",1.02342724474865,"OPC",0.0565195152112762,18.1075021773094,1,"MYO3B","Inhib/OPC: 18.108",2.21732489932548,-5099.69745201866,-5092.97381081116,1.21824596184975,44," std logFC = 1.218",FALSE
"ENSG00000113396","Inhib",1.11041311058581,"OPC",0.0761323937199179,14.5852909166483,2,"SLC27A6","Inhib/OPC: 14.585",2.20464280785065,-5521.06654839421,-5514.14223649124,1.27251414057764,36," std logFC = 1.273",FALSE
"ENSG00000136750","Inhib",2.32651742391665,"Oligo",0.165807025813293,14.0314767272675,3,"GAD2","Inhib/Oligo: 14.031",8.55386884270217,-11967.1332415736,-11957.7240230209,1.98992214952637,3," std logFC = 1.99",TRUE
"ENSG00000150556","Inhib",1.19820337917483,"Excit",0.0967467908104392,12.3849418584078,4,"LYPD6B","Inhib/Excit: 12.385",2.47995486799782,-6337.57067535589,-6330.05857678802,1.37369292782355,20," std logFC = 1.374",TRUE
"ENSG00000189056","Inhib",1.60984971845301,"Oligo",0.142146521362775,11.3252839606569,5,"RELN","Inhib/Oligo: 11.325",6.70064307852386,-1815.94675158017,-1811.09140991902,0.705113354559224,285," std logFC = 0.705",TRUE
"ENSG00000144596","Inhib",1.45432047672877,"EndoMural",0.130282784128302,11.1627985728073,6,"GRIP2","Inhib/EndoMural: 11.163",2.97259339867966,-13017.8221411471,-13008.0074574863,2.09632187230771,2," std logFC = 2.096",TRUE
"ENSG00000151136","Inhib",2.60713334528943,"OPC",0.305086724448398,8.545548319099,7,"BTBD11","Inhib/OPC: 8.546",10.1219717162996,-11097.4637219552,-11088.3421854749,1.90051761387328,4," std logFC = 1.901",TRUE
"ENSG00000157404","Inhib",1.55925171698732,"OPC",0.192720352009,8.09074755589124,8,"KIT","Inhib/OPC: 8.091",4.66100685923943,-7329.07007025395,-7321.27028961363,1.49088830540435,15," std logFC = 1.491",TRUE
"ENSG00000169330","Inhib",0.696856788628684,"OPC",0.0913834140008538,7.62563749940633,9,"MINAR1","Inhib/OPC: 7.626",0.997717730392339,-4978.95060663771,-4972.24943828606,1.20239768267921,45," std logFC = 1.202",TRUE
"ENSG00000029534","Inhib",1.6403316252523,"Excit",0.216220309814825,7.58639013447492,10,"ANK1","Inhib/Excit: 7.586",4.05164022116888,-8584.04671923489,-8575.73611297081,1.63246694469857,9," std logFC = 1.632",TRUE
"ENSG00000181072","Inhib",2.46921802105226,"Excit",0.426598274483081,5.78815754481021,11,"CHRM2","Inhib/Excit: 5.788",12.0009064205608,-5112.7170112228,-5105.94684999967,1.21994653372913,42," std logFC = 1.22",TRUE
"ENSG00000198785","Inhib",1.73054307854695,"Excit",0.299998687806205,5.76850215979898,12,"GRIN3A","Inhib/Excit: 5.769",4.33482643518257,-4969.33530772305,-4962.65611827812,1.20112960186886,46," std logFC = 1.201",TRUE
"ENSG00000260232","Inhib",1.19768908488125,"Excit",0.216648329945562,5.52826363896824,13,"PWRN4","Inhib/Excit: 5.528",1.9527477919443,-3071.46520304977,-3065.8552120083,0.927911802893547,134," std logFC = 0.928",FALSE
"ENSG00000227681","Inhib",1.73703747308308,"Excit",0.317192699328435,5.47628453227567,14,"AL033504.1","Inhib/Excit: 5.476",4.47242066803011,-4691.1983688386,-4684.75098100773,1.16404314855329,58," std logFC = 1.164",FALSE
"ENSG00000203727","Inhib",1.96358818274939,"Excit",0.371944217024387,5.27925450342638,15,"SAMD5","Inhib/Excit: 5.279",5.60371685019578,-5658.33874647359,-5651.32742319364,1.28987014767146,33," std logFC = 1.29",TRUE
"ENSG00000007402","Inhib",0.684671667282541,"Excit",0.15353886854458,4.4592725853242,16,"CACNA2D2","Inhib/Excit: 4.459",0.959255572162002,-4479.2748804405,-4472.98655730426,1.13522708690263,68," std logFC = 1.135",TRUE
"ENSG00000164512","Inhib",0.895112913452011,"OPC",0.200967513314405,4.45401795887101,17,"ANKRD55","Inhib/OPC: 4.454",1.63702716674663,-6385.6382734623,-6378.07488160005,1.37950605534214,19," std logFC = 1.38",TRUE
"ENSG00000180875","Inhib",1.20379286940214,"Excit",0.271030891168806,4.44153382004112,18,"GREM2","Inhib/Excit: 4.442",2.11417869297946,-4047.90431723378,-4041.83913764885,1.07489768537978,85," std logFC = 1.075",TRUE
"ENSG00000153820","Inhib",2.43712990923943,"Excit",0.562407480135958,4.33338814883876,19,"SPHKAP","Inhib/Excit: 4.333",10.6669714132455,-5997.35846800803,-5990.10873370463,1.33211510869712,26," std logFC = 1.332",TRUE
"ENSG00000138829","Inhib",1.03034278713042,"OPC",0.241590820952601,4.26482588646266,20,"FBN2","Inhib/OPC: 4.265",1.96021305149804,-4570.80289118758,-4564.46944761605,1.14773466119039,65," std logFC = 1.148",FALSE
"ENSG00000143061","Inhib",0.898804112761215,"Excit",0.241324994442099,3.72445512674348,21,"IGSF3","Inhib/Excit: 3.724",1.27133459008101,-3783.40399032373,-3777.46050767377,1.03665412920356,96," std logFC = 1.037",TRUE
"ENSG00000158089","Inhib",1.85744585221386,"Excit",0.503331883080585,3.69030040546125,22,"GALNT14","Inhib/Excit: 3.69",4.52672697793389,-3517.79109506809,-3511.95609306113,0.997154784630669,107," std logFC = 0.997",TRUE
"ENSG00000163630","Inhib",3.12000483399116,"Excit",0.872455659533673,3.57611851089235,23,"SYNPR","Inhib/Excit: 3.576",14.8568960653197,-7752.92527554906,-7744.9823940651,1.53944862038555,13," std logFC = 1.539",TRUE
"ENSG00000155966","Inhib",1.57278957018594,"Excit",0.445584507602729,3.52972229363996,24,"AFF2","Inhib/Excit: 3.53",3.04340013033592,-4858.47646768805,-4851.90046247936,1.18644305595282,51," std logFC = 1.186",TRUE
"ENSG00000120049","Inhib",0.707175063980358,"Excit",0.208311050647232,3.39480340473121,25,"KCNIP2","Inhib/Excit: 3.395",0.96282758559423,-3682.81450882618,-3676.9510688839,1.02183149734213,104," std logFC = 1.022",TRUE
"ENSG00000086205","Oligo",1.60353054512775,"Micro",0.0741168955117296,21.6351553050947,1,"FOLH1","Oligo/Micro: 21.635",1.37021627181429,-8417.79593062188,-8410.42359399639,1.52880676487167,23," std logFC = 1.529",TRUE
