SAMPLE_ID,Sample,Dataset,BrNum,pos,library_prep,method,input,marker,cell_type,prop,RNAscope_prop,snRNA_prop,library_type,rna_extract,library_combo
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,Mathys,MeanRatio_top25,Excit,0.7443927999655117,NA,0.11634805537244562,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,Mathys,MeanRatio_top25,Inhib,0.022064560197622946,NA,0.571193144363876,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,Mathys,MeanRatio_top25,Micro,0.014828858624994326,NA,0.004943968358602505,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,Mathys,MeanRatio_top25,OligoOPC,0.16837397767495116,NA,0.24588002636783124,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,Tran,MeanRatio_top25,Astro,0.022042450105024113,NA,0.049439683586025046,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,Tran,MeanRatio_top25,EndoMural,0.10518124417498387,NA,0.012195121951219513,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,Tran,MeanRatio_top25,Excit,0.4282042842777168,NA,0.11634805537244562,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,Tran,MeanRatio_top25,Inhib,0.2417655980252706,NA,0.571193144363876,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,Tran,MeanRatio_top25,Micro,0.021389444494345433,NA,0.004943968358602505,polyA,Total,polyA_Total
2107UNHS-0291_Br2720_Mid_Bulk,Br2720_mid,2107UNHS-0291,Br2720,Mid,Bulk,hspe,Tran,MeanRatio_top25,OligoOPC,0.18141697892265915,NA,0.24588002636783124,polyA,Total,polyA_Total
